Sitio,Región,Referencia,Latitud,Longitud,Cacicazgos,Formativo,Colonial,Paleoindio,Republicano,Total,Fechas
"UMG 40","","Piazzini Suárez, 2004",6.816111,-76.107222,0,0,0,0,0,0,
"UMG 45","","Piazzini Suárez, 2004",6.844444,-76.128889,0,0,0,0,0,0,
"UMG 7","","Piazzini Suárez, 2004",6.791667,-76.080556,0,0,0,0,0,0,
"UMG 22","","Piazzini Suárez, 2004",6.791389,-76.085833,0,0,0,0,0,0,
"UMG 23","","Piazzini Suárez, 2004",6.801944,-76.088056,0,0,0,0,0,0,
"UMG 26","","Piazzini Suárez, 2004",6.795556,-76.090556,0,0,0,0,0,0,
"V-Cai-EAl-1 Los Quingos","Valles alto Calima y alto y medio del Cauca","Bruhns, 1976",4.409764,-75.866478,0,0,0,0,0,0,
"LI  97","","Herrera Gómez, Cardona & Espinoza, 2001",6.824722,-75.826667,0,0,0,0,0,0,
"UMG 9A","","Piazzini Suárez, 2004",6.754181,-76.091681,0,0,0,0,0,0,
"UMG 18","","Piazzini Suárez, 2004",6.763231,-76.095914,0,0,0,0,0,0,
"UMP 6","","Arango, & Escobar, 2010",6.710833,-76.157778,0,0,0,0,0,0,
"UMP 8","","Arango, & Escobar, 2010",6.709444,-76.150833,0,0,0,0,0,0,
"Sitio 3","Macizo Antioqueño","Acevedo, 2007",6.160278,-75.628611,0,0,0,0,0,0,
"Sitio 4","Macizo Antioqueño","Acevedo, 2007",6.158333,-75.625833,0,0,0,0,0,0,
"Sitio 6","Macizo Antioqueño","Acevedo, 2007",6.157222,-75.624722,0,0,0,0,0,0,
"La Palma","Macizo Antioqueño","GAIA, 1999",6.4048,-75.430539,0,0,0,0,0,0,
"UMP 44","","Arango,& Escobar, 2010",6.753611,-76.131111,0,0,0,0,0,0,
"UMP 46","","Arango,& Escobar, 2010",6.750833,-76.131389,0,0,0,0,0,0,
"UMP 54","","Arango,& Escobar, 2010",6.763056,-76.118056,0,0,0,0,0,0,
"UMP 56","","Arango,& Escobar, 2010",6.749167,-76.132778,0,0,0,0,0,0,
"UMP 57","","Arango,& Escobar, 2010",6.746667,-76.135278,0,0,0,0,0,0,
"Yacimiento 5","Macizo Antioqueño","Nieto, 2003",6.286111,-75.628056,0,0,0,0,0,0,
"UMP 68","","Arango,& Escobar, 2010",6.760278,-76.137778,0,0,0,0,0,0,
"Yacimiento 8","Macizo Antioqueño","Nieto, 2003",6.282778,-75.621111,0,0,0,0,0,0,
"Yacimiento 24","Macizo Antioqueño","Nieto, 2003",6.29,-75.613611,0,0,0,0,0,0,
"UMP 201","","Piazzini Suárez, 2009",6.778333,-76.198611,0,0,0,0,0,0,
"La Blanquita","Macizo Antioqueño","Martínez, & Botero, 2002",6.208358,-75.629206,0,0,0,0,0,0,
"UMP 202","","Piazzini Suárez, 2009",6.771111,-76.191944,0,0,0,0,0,0,
"UMP 203","","Piazzini Suárez, 2009",6.776667,-76.200278,0,0,0,0,0,0,
"UMP 139","","Piazzini Suárez, 2009",6.745833,-76.201389,0,0,0,0,0,0,
"UMP 205","","Piazzini Suárez, 2009",6.775833,-76.201667,0,0,0,0,0,0,
"UMP 207","","Piazzini Suárez, 2009",6.776389,-76.201667,0,0,0,0,0,0,
"UMP 208","","Piazzini Suárez, 2009",6.77,-76.192778,0,0,0,0,0,0,
"UMP 209","","Piazzini Suárez, 2009",6.776667,-76.201111,0,0,0,0,0,0,
"UMP 210","","Piazzini Suárez, 2009",6.768333,-76.195556,0,0,0,0,0,0,
"UMP 211","","Piazzini Suárez, 2004",6.777222,-76.201111,0,0,0,0,0,0,
"UMP 212","","Piazzini Suárez, 2009",6.768333,-76.196389,0,0,0,0,0,0,
"UMP 213","","Piazzini Suárez, 2009",6.776111,-76.199167,0,0,0,0,0,0,
"UMP 214","","Piazzini Suárez, 2009",6.775278,-76.191667,0,0,0,0,0,0,
"UMP 215","","Piazzini Suárez, 2009",6.777222,-76.203333,0,0,0,0,0,0,
"UMP 216","","Piazzini Suárez, 2009",6.770833,-76.196389,0,0,0,0,0,0,
"UMP 217","","Piazzini Suárez, 2009",6.780278,-76.206667,0,0,0,0,0,0,
"UMP 218","","Piazzini Suárez, 2009",6.779722,-76.189722,0,0,0,0,0,0,
"UMP 219","","Piazzini Suárez, 2009",6.778333,-76.203056,0,0,0,0,0,0,
"UMP 220","","Piazzini Suárez, 2009",6.780556,-76.190833,0,0,0,0,0,0,
"UMP 221","","Piazzini Suárez, 2009",6.78,-76.205278,0,0,0,0,0,0,
"UMP 222","","Piazzini Suárez, 2009",6.781944,-76.193056,0,0,0,0,0,0,
"UMP 223","","Piazzini Suárez, 2009",6.780556,-76.204444,0,0,0,0,0,0,
"UMP 224","","Piazzini Suárez, 2009",6.782222,-76.193611,0,0,0,0,0,0,
"UMP 225","","Piazzini Suárez, 2009",6.780278,-76.203056,0,0,0,0,0,0,
"UMP 226","","Piazzini Suárez, 2009",6.781389,-76.194167,0,0,0,0,0,0,
"UMP 82","","Piazzini Suárez, 2009",6.756667,-76.187222,0,0,0,0,0,0,
"UMP 83","","Piazzini Suárez, 2009",6.754444,-76.194722,0,0,0,0,0,0,
"UMP 84","","Piazzini Suárez, 2009",6.756667,-76.186944,0,0,0,0,0,0,
"UMP 85","","Piazzini Suárez, 2009",6.754722,-76.195,0,0,0,0,0,0,
"UMP 86","","Piazzini Suárez, 2009",6.754444,-76.187222,0,0,0,0,0,0,
"UMP 87","","Piazzini Suárez, 2009",6.756667,-76.195278,0,0,0,0,0,0,
"UMP 88","","Piazzini Suárez, 2009",6.757778,-76.186667,0,0,0,0,0,0,
"UMP 89","","Piazzini Suárez, 2009",6.7575,-76.195278,0,0,0,0,0,0,
"UMP 90","","Piazzini Suárez, 2009",6.746111,-76.191111,0,0,0,0,0,0,
"UMP 91","","Piazzini Suárez, 2009",6.756389,-76.193333,0,0,0,0,0,0,
"UMP 92","","Piazzini Suárez, 2009",6.758889,-76.187222,0,0,0,0,0,0,
"UMP 94","","Piazzini Suárez, 2009",6.759167,-76.1875,0,0,0,0,0,0,
"UMP 95","","Piazzini Suárez, 2009",6.757778,-76.193611,0,0,0,0,0,0,
"UMP 96","","Piazzini Suárez, 2009",6.759722,-76.187222,0,0,0,0,0,0,
"UMP 97","","Piazzini Suárez, 2009",6.757778,-76.193333,0,0,0,0,0,0,
"UMP 98","","Piazzini Suárez, 2009",6.76,-76.186944,0,0,0,0,0,0,
"UMP 99","","Piazzini Suárez, 2009",6.758611,-76.1925,0,0,0,0,0,0,
"UMP 100","","Piazzini Suárez, 2009",6.760556,-76.1875,0,0,0,0,0,0,
"UMP 101","","Piazzini Suárez, 2009",6.758333,-76.195278,0,0,0,0,0,0,
"UMP 102","","Piazzini Suárez, 2009",6.760833,-76.188333,0,0,0,0,0,0,
"UMP 103","","Piazzini Suárez, 2009",6.759722,-76.193333,0,0,0,0,0,0,
"UMP 104","","Piazzini Suárez, 2009",6.759722,-76.188056,0,0,0,0,0,0,
"UMP 105","","Piazzini Suárez, 2009",6.758333,-76.191389,0,0,0,0,0,0,
"UMP 106","","Piazzini Suárez, 2009",6.761389,-76.189444,0,0,0,0,0,0,
"UMP 108","","Piazzini Suárez, 2009",6.762778,-76.188056,0,0,0,0,0,0,
"Unidad de Intervención Arqueológica 1","Macizo Antioqueño","Obregón, Cardona, & Gómez, 2003",6.251306,-75.486139,0,0,0,0,0,0,
"Unidad de Intervención Arqueológica 2","Macizo Antioqueño","Obregón, Cardona, & Gómez, 2003",6.251306,-75.484889,0,0,0,0,0,0,
"Estructura 1","Macizo Antioqueño","Henao,& Urrea, 2006",6.2575,-75.496111,0,0,0,0,0,0,
"Estructura 2","Macizo Antioqueño","Henao,& Urrea, 2006",6.257222,-75.494167,0,0,0,0,0,0,
"Estructura 3","Macizo Antioqueño","Henao,& Urrea, 2006",6.264722,-75.494722,0,0,0,0,0,0,
"Estructura 4","Macizo Antioqueño","Henao,& Urrea, 2006",6.256667,-75.502222,0,0,0,0,0,0,
"Estructura 5","Macizo Antioqueño","Henao,& Urrea, 2006",6.2325,-75.489167,0,0,0,0,0,0,
"Estructura 6","Macizo Antioqueño","Henao,& Urrea, 2006",6.259167,-75.496667,0,0,0,0,0,0,
"Estructura 7","Macizo Antioqueño","Henao,& Urrea, 2006",6.258056,-75.497222,0,0,0,0,0,0,
"Estructura 8","Macizo Antioqueño","Henao,& Urrea, 2006",6.254722,-75.492778,0,0,0,0,0,0,
"Estructura 9","Macizo Antioqueño","Henao,& Urrea, 2006",6.255,-75.493889,0,0,0,0,0,0,
"Estructura 10","Macizo Antioqueño","Henao,& Urrea, 2006",6.251389,-75.490833,0,0,0,0,0,0,
"Estructura 11","Macizo Antioqueño","Henao,& Urrea, 2006",6.253611,-75.493056,0,0,0,0,0,0,
"Estructura 12","Macizo Antioqueño","Henao,& Urrea, 2006",6.243333,-75.492778,0,0,0,0,0,0,
"Estructura 13","Macizo Antioqueño","Henao,& Urrea, 2006",6.279722,-75.500833,0,0,0,0,0,0,
"Estructura 14","Macizo Antioqueño","Henao,& Urrea, 2006",6.276389,-75.519722,0,0,0,0,0,0,
"Estructura 15","Macizo Antioqueño","Henao,& Urrea, 2006",6.256389,-75.492778,0,0,0,0,0,0,
"Estructura 16","Macizo Antioqueño","Henao,& Urrea, 2006",6.259444,-75.493056,0,0,0,0,0,0,
"Estructura 17","Macizo Antioqueño","Henao,& Urrea, 2006",6.258056,-75.493056,0,0,0,0,0,0,
"Estructura 18","Macizo Antioqueño","Henao,& Urrea, 2006",6.274444,-75.523611,0,0,0,0,0,0,
"Estructura 19","Macizo Antioqueño","Henao,& Urrea, 2006",6.258056,-75.494722,0,0,0,0,0,0,
"Estructura 20","Macizo Antioqueño","Henao,& Urrea, 2006",6.325,-75.496944,0,0,0,0,0,0,
"Estructura 21","Macizo Antioqueño","Henao,& Urrea, 2006",6.273056,-75.524444,0,0,0,0,0,0,
"UMP 115","","Piazzini Suárez, 2009",6.760556,-76.195556,0,0,0,0,0,0,
"UMP 116","","Piazzini Suárez, 2009",6.763611,-76.189167,0,0,0,0,0,0,
"UMP 117","","Piazzini Suárez, 2009",6.761944,-76.195833,0,0,0,0,0,0,
"UMP 118","","Piazzini Suárez, 2009",6.763611,-76.189444,0,0,0,0,0,0,
"UMP 120","","Piazzini Suárez, 2009",6.764444,-76.189167,0,0,0,0,0,0,
"UMP 121","","Piazzini Suárez, 2009",6.762222,-76.193056,0,0,0,0,0,0,
"UMP 123","","Piazzini Suárez, 2009",6.761389,-76.1925,0,0,0,0,0,0,
"UMP 124","","Piazzini Suárez, 2009",6.765,-76.188889,0,0,0,0,0,0,
"UMP 125","","Piazzini Suárez, 2009",6.760833,-76.192222,0,0,0,0,0,0,
"UMP 127","","Piazzini Suárez, 2009",6.760833,-76.191667,0,0,0,0,0,0,
"UMP 128","","Piazzini Suárez, 2004",6.765,-76.187778,0,0,0,0,0,0,
"UMP 129","","Piazzini Suárez, 2009",6.759722,-76.191111,0,0,0,0,0,0,
"UMP 130","","Piazzini Suárez, 2009",6.765556,-76.188056,0,0,0,0,0,0,
"UMP 36","","Piazzini Suárez, 2009",6.744444,-76.189722,0,0,0,0,0,0,
"UMP 37","","Piazzini Suárez, 2009",6.747778,-76.186944,0,0,0,0,0,0,
"UMP 38","","Piazzini Suárez, 2009",6.744722,-76.189444,0,0,0,0,0,0,
"UMP 39","","Piazzini Suárez, 2009",6.747778,-76.186667,0,0,0,0,0,0,
"UMP 40","","Piazzini Suárez, 2009",6.745278,-76.189722,0,0,0,0,0,0,
"UMP 41","","Piazzini Suárez, 2009",6.7475,-76.185833,0,0,0,0,0,0,
"UMP 42","","Piazzini Suárez, 2009",6.744722,-76.189722,0,0,0,0,0,0,
"UMP 43","","Piazzini Suárez, 2009",6.747778,-76.186111,0,0,0,0,0,0,
"UMP 44","","Piazzini Suárez, 2009",6.746111,-76.189444,0,0,0,0,0,0,
"UMP 46","","Piazzini Suárez, 2009",6.7525,-76.183889,0,0,0,0,0,0,
"UMP 47","","Piazzini Suárez, 2009",6.742222,-76.195278,0,0,0,0,0,0,
"UMP 48","","Piazzini Suárez, 2009",6.753333,-76.183333,0,0,0,0,0,0,
"UMP 49","","Piazzini Suárez, 2009",6.741111,-76.192222,0,0,0,0,0,0,
"UMP 50","","Piazzini Suárez, 2009",6.754444,-76.1825,0,0,0,0,0,0,
"UMP 51","","Piazzini Suárez, 2009",6.742222,-76.192778,0,0,0,0,0,0,
"UMP 52","","Piazzini Suárez, 2009",6.755833,-76.183889,0,0,0,0,0,0,
"UMP 53","","Piazzini Suárez, 2009",6.741944,-76.192222,0,0,0,0,0,0,
"UMP 54","","Piazzini Suárez, 2009",6.755,-76.183611,0,0,0,0,0,0,
"UMP 55","","Piazzini Suárez, 2009",6.740556,-76.191944,0,0,0,0,0,0,
"UMP 56","","Piazzini Suárez, 2009",6.754722,-76.183889,0,0,0,0,0,0,
"UMP 57","","Piazzini Suárez, 2009",6.745833,-76.192222,0,0,0,0,0,0,
"UMP 58","","Piazzini Suárez, 2009",6.754722,-76.184167,0,0,0,0,0,0,
"UMP 59","","Piazzini Suárez, 2009",6.7475,-76.1925,0,0,0,0,0,0,
"UMP 60","","Piazzini Suárez, 2009",6.754722,-76.184444,0,0,0,0,0,0,
"UMP 61","","Piazzini Suárez, 2009",6.747222,-76.192778,0,0,0,0,0,0,
"UMP 62","","Piazzini Suárez, 2009",6.755833,-76.184167,0,0,0,0,0,0,
"UMP 63","","Piazzini Suárez, 2009",6.746944,-76.193889,0,0,0,0,0,0,
"UMP 64","","Piazzini Suárez, 2009",6.753889,-76.184722,0,0,0,0,0,0,
"UMP 65","","Piazzini Suárez, 2009",6.746667,-76.194444,0,0,0,0,0,0,
"UMP 66","","Piazzini Suárez, 2009",6.754167,-76.185,0,0,0,0,0,0,
"UMP 67","","Piazzini Suárez, 2009",6.750278,-76.194722,0,0,0,0,0,0,
"UMP 68","","Piazzini Suárez, 2009",6.756389,-76.185833,0,0,0,0,0,0,
"UMP 70","","Piazzini Suárez, 2009",6.756389,-76.186111,0,0,0,0,0,0,
"UMP 71","","Piazzini Suárez, 2009",6.748333,-76.195556,0,0,0,0,0,0,
"UMP 72","","Piazzini Suárez, 2009",6.755833,-76.186111,0,0,0,0,0,0,
"UMP 73","","Piazzini Suárez, 2009",6.757778,-76.185833,0,0,0,0,0,0,
"UMP 74","","Piazzini Suárez, 2009",6.755833,-76.186389,0,0,0,0,0,0,
"UMP 75","","Piazzini Suárez, 2009",6.750556,-76.193333,0,0,0,0,0,0,
"UMP 78","","Arango, & Escobar, 2010",6.768056,-76.124444,0,0,0,0,0,0,
"UMP 9","","Arango, & Escobar, 2010",6.713611,-76.1675,0,0,0,0,0,0,
"UMP 1","","Piazzini Suárez, 2009",6.748889,-76.183889,0,0,0,0,0,0,
"UMP 2","","Piazzini Suárez, 2009",6.748611,-76.183056,0,0,0,0,0,0,
"UMP 3","","Piazzini Suárez, 2009",6.749167,-76.183611,0,0,0,0,0,0,
"UMP 4","","Piazzini Suárez, 2009",6.748889,-76.183333,0,0,0,0,0,0,
"UMP 5","","Piazzini Suárez, 2009",6.749444,-76.183889,0,0,0,0,0,0,
"UMP 6","","Piazzini Suárez, 2009",6.748611,-76.185833,0,0,0,0,0,0,
"UMP 7","","Piazzini Suárez, 2009",6.751111,-76.1825,0,0,0,0,0,0,
"UMP 8","","Piazzini Suárez, 2009",6.748889,-76.186667,0,0,0,0,0,0,
"UMP 9","","Piazzini Suárez, 2009",6.749444,-76.186389,0,0,0,0,0,0,
"UMP 10","","Piazzini Suárez, 2009",6.748056,-76.186667,0,0,0,0,0,0,
"UMP 11","","Piazzini Suárez, 2009",6.746667,-76.185278,0,0,0,0,0,0,
"UMP 12","","Piazzini Suárez, 2009",6.748611,-76.186667,0,0,0,0,0,0,
"UMP 14","","Piazzini Suárez, 2009",6.748056,-76.186389,0,0,0,0,0,0,
"UMP 16","","Piazzini Suárez, 2009",6.748889,-76.186111,0,0,0,0,0,0,
"UMP 18","","Piazzini Suárez, 2009",6.747222,-76.185556,0,0,0,0,0,0,
"UMP 19","","Piazzini Suárez, 2009",6.749444,-76.183333,0,0,0,0,0,0,
"UMP 20","","Piazzini Suárez, 2009",6.746667,-76.186111,0,0,0,0,0,0,
"UMP 21","","Piazzini Suárez, 2009",6.745833,-76.185278,0,0,0,0,0,0,
"UMP 22","","Piazzini Suárez, 2009",6.744444,-76.187778,0,0,0,0,0,0,
"UMP 23","","Piazzini Suárez, 2009",6.745556,-76.185278,0,0,0,0,0,0,
"UMP 24","","Piazzini Suárez, 2009",6.744167,-76.187222,0,0,0,0,0,0,
"UMP 25","","Piazzini Suárez, 2009",6.745278,-76.185278,0,0,0,0,0,0,
"UMP 26","","Piazzini Suárez, 2009",6.749722,-76.186944,0,0,0,0,0,0,
"UMP 27","","Piazzini Suárez, 2009",6.744722,-76.185556,0,0,0,0,0,0,
"UMP 28","","Piazzini Suárez, 2009",6.751667,-76.188056,0,0,0,0,0,0,
"UMP 30","","Piazzini Suárez, 2009",6.750833,-76.187778,0,0,0,0,0,0,
"UMP 31","","Piazzini Suárez, 2009",6.766111,-76.186389,0,0,0,0,0,0,
"UMP 32","","Piazzini Suárez, 2009",6.749444,-76.188333,0,0,0,0,0,0,
"UMP 33","","Piazzini Suárez, 2009",6.744722,-76.1875,0,0,0,0,0,0,
"UMP 34","","Piazzini Suárez, 2009",6.749722,-76.196111,0,0,0,0,0,0,
"UMP 35","","Piazzini Suárez, 2009",6.748056,-76.186944,0,0,0,0,0,0,
"UMP 76","","Piazzini Suárez, 2009",6.754444,-76.186944,0,0,0,0,0,0,
"UMP 77","","Piazzini Suárez, 2009",6.754722,-76.191389,0,0,0,0,0,0,
"UMP 78","","Piazzini Suárez, 2009",6.755278,-76.186944,0,0,0,0,0,0,
"UMP 79","","Piazzini Suárez, 2009",6.754722,-76.186944,0,0,0,0,0,0,
"UMP 81","","Piazzini Suárez, 2009",6.753333,-76.194167,0,0,0,0,0,0,
"UMP 131","","Piazzini Suárez, 2009",6.764167,-76.194444,0,0,0,0,0,0,
"UMP 132","","Piazzini Suárez, 2009",6.765556,-76.187778,0,0,0,0,0,0,
"UMP 134","","Piazzini Suárez, 2009",6.765833,-76.186944,0,0,0,0,0,0,
"UMP 135","","Piazzini Suárez, 2009",6.760833,-76.191389,0,0,0,0,0,0,
"UMP 138","","Piazzini Suárez, 2009",6.764167,-76.189722,0,0,0,0,0,0,
"UMP 141","","Piazzini Suárez, 2009",6.746111,-76.200556,0,0,0,0,0,0,
"UMP 142","","Piazzini Suárez, 2009",6.766667,-76.189444,0,0,0,0,0,0,
"UMP 143","","Piazzini Suárez, 2009",6.760833,-76.198056,0,0,0,0,0,0,
"UMP 144","","Piazzini Suárez, 2009",6.765556,-76.191667,0,0,0,0,0,0,
"UMP 145","","Piazzini Suárez, 2009",6.761667,-76.197778,0,0,0,0,0,0,
"UMP 146","","Piazzini Suárez, 2009",6.766111,-76.191944,0,0,0,0,0,0,
"UMP 147","","Piazzini Suárez, 2009",6.762222,-76.1975,0,0,0,0,0,0,
"UMP 148","","Piazzini Suárez, 2009",6.750833,-76.191111,0,0,0,0,0,0,
"UMP 149","","Piazzini Suárez, 2009",6.765833,-76.198056,0,0,0,0,0,0,
"UMP 150","","Piazzini Suárez, 2009",6.766111,-76.1925,0,0,0,0,0,0,
"UMP 151","","Piazzini Suárez, 2009",6.763333,-76.198889,0,0,0,0,0,0,
"UMP 153","","Piazzini Suárez, 2009",6.766111,-76.198056,0,0,0,0,0,0,
"UMP 154","","Piazzini Suárez, 2009",6.767222,-76.191667,0,0,0,0,0,0,
"UMP 155","","Piazzini Suárez, 2009",6.765833,-76.198889,0,0,0,0,0,0,
"UMP 156","","Piazzini Suárez, 2009",6.750278,-76.192222,0,0,0,0,0,0,
"UMP 157","","Piazzini Suárez, 2009",6.762222,-76.198333,0,0,0,0,0,0,
"UMP 158","","Piazzini Suárez, 2009",6.7675,-76.190833,0,0,0,0,0,0,
"UMP 159","","Piazzini Suárez, 2009",6.764444,-76.198611,0,0,0,0,0,0,
"UMP 160","","Piazzini Suárez, 2009",6.755,-76.197778,0,0,0,0,0,0,
"UMP 161","","Piazzini Suárez, 2009",6.761667,-76.198889,0,0,0,0,0,0,
"UMP 162","","Piazzini Suárez, 2009",6.755,-76.1975,0,0,0,0,0,0,
"UMP 163","","Piazzini Suárez, 2009",6.761111,-76.198889,0,0,0,0,0,0,
"UMP 164","","Piazzini Suárez, 2009",6.758889,-76.196111,0,0,0,0,0,0,
"UMP 165","","Piazzini Suárez, 2009",6.761389,-76.199444,0,0,0,0,0,0,
"UMP 166","","Piazzini Suárez, 2009",6.757778,-76.198056,0,0,0,0,0,0,
"UMP 167","","Piazzini Suárez, 2009",6.746389,-76.191111,0,0,0,0,0,0,
"UMP 169","","Piazzini Suárez, 2009",6.747222,-76.212222,0,0,0,0,0,0,
"UMP 170","","Piazzini Suárez, 2009",6.759167,-76.197222,0,0,0,0,0,0,
"UMP 171","","Piazzini Suárez, 2009",6.744167,-76.203611,0,0,0,0,0,0,
"UMP 172","","Piazzini Suárez, 2009",6.763056,-76.196111,0,0,0,0,0,0,
"UMP 173","","Piazzini Suárez, 2009",6.743333,-76.205278,0,0,0,0,0,0,
"UMP 174","","Piazzini Suárez, 2009",6.762778,-76.1975,0,0,0,0,0,0,
"UMP 175","","Piazzini Suárez, 2009",6.742778,-76.205278,0,0,0,0,0,0,
"UMP 176","","Piazzini Suárez, 2009",6.764722,-76.197778,0,0,0,0,0,0,
"UMP 177","","Piazzini Suárez, 2009",6.746389,-76.2075,0,0,0,0,0,0,
"UMP 178","","Piazzini Suárez, 2009",6.763611,-76.201389,0,0,0,0,0,0,
"UMP 179","","Piazzini Suárez, 2009",6.746944,-76.209722,0,0,0,0,0,0,
"UMP 180","","Piazzini Suárez, 2009",6.765833,-76.202222,0,0,0,0,0,0,
"UMP 181","","Piazzini Suárez, 2009",6.754167,-76.198333,0,0,0,0,0,0,
"UIA 5","Macizo Antioqueño","Obregón, Cardona, & Gómez, 2004",6.240833,-75.474722,0,0,0,0,0,0,
"UIA 100","Macizo Antioqueño","Obregón, Cardona, & Gómez, 2004",6.254167,-75.495,0,0,0,0,0,0,
"UIA 106","Macizo Antioqueño","Obregón, Cardona, & Gómez, 2004",6.239722,-75.492778,0,0,0,0,0,0,
"UIA 32","Macizo Antioqueño","Obregón, Cardona, & Gómez, 2004",6.246389,-75.484722,0,0,0,0,0,0,
"UMP 182","","Piazzini Suárez, 2009",6.759444,-76.199167,0,0,0,0,0,0,
"UMP 183","","Piazzini Suárez, 2009",6.766111,-76.198889,0,0,0,0,0,0,
"UMP 184","","Piazzini Suárez, 2004",6.76,-76.198889,0,0,0,0,0,0,
"UMP 185","","Piazzini Suárez, 2009",6.766667,-76.198611,0,0,0,0,0,0,
"UMP 186","","Piazzini Suárez, 2009",6.748889,-76.210556,0,0,0,0,0,0,
"UMP 187","","Piazzini Suárez, 2009",6.767778,-76.200833,0,0,0,0,0,0,
"UMP 188","","Piazzini Suárez, 2009",6.748611,-76.21,0,0,0,0,0,0,
"UMP 189","","Piazzini Suárez, 2004",6.773056,-76.199444,0,0,0,0,0,0,
"UMP 190","","Piazzini Suárez, 2004",6.748056,-76.204722,0,0,0,0,0,0,
"UMP 191","","Piazzini Suárez, 2009",6.772778,-76.198889,0,0,0,0,0,0,
"UMP 192","","Piazzini Suárez, 2009",6.747778,-76.203611,0,0,0,0,0,0,
"UMP 193","","Piazzini Suárez, 2009",6.773056,-76.200833,0,0,0,0,0,0,
"UMP 194","","Piazzini Suárez, 2009",6.748333,-76.2025,0,0,0,0,0,0,
"UMP 195","","Piazzini Suárez, 2009",6.741389,-76.201944,0,0,0,0,0,0,
"UMP 196","","Piazzini Suárez, 2009",6.748611,-76.203333,0,0,0,0,0,0,
"UMP 197","","Piazzini Suárez, 2009",6.773611,-76.2025,0,0,0,0,0,0,
"UMP 198","","Piazzini Suárez, 2009",6.748056,-76.201667,0,0,0,0,0,0,
"UMP 199","","Piazzini Suárez, 2009",6.779722,-76.198611,0,0,0,0,0,0,
"UMP 200","","Piazzini Suárez, 2009",6.765833,-76.195833,0,0,0,0,0,0,
"UMG 2","","Piazzini Suárez, 2004",6.729167,-76.093889,0,0,0,0,0,0,
"UMG 3","","Piazzini Suárez, 2004",6.728333,-76.094722,0,0,0,0,0,0,
"UMG 6","","Piazzini Suárez, 2004",6.73,-76.095556,0,0,0,0,0,0,
"UMG 11","","Piazzini Suárez, 2004",6.723889,-76.092778,0,0,0,0,0,0,
"UMG 9","","Piazzini Suárez, 2004",6.731944,-76.096667,0,0,0,0,0,0,
"UMG 13","","Piazzini Suárez, 2004",6.741944,-76.096111,0,0,0,0,0,0,
"UMG 14","","Piazzini Suárez, 2004",6.745556,-76.097222,0,0,0,0,0,0,
"UMG 15","","Piazzini Suárez, 2004",6.746111,-76.099167,0,0,0,0,0,0,
"UMG 50","","Piazzini Suárez, 2004",6.727222,-76.091389,0,0,0,0,0,0,
"UMG 52","","Piazzini Suárez, 2004",6.728056,-76.088611,0,0,0,0,0,0,
"UMG 54","","Piazzini Suárez, 2004",6.728333,-76.086667,0,0,0,0,0,0,
"UMG 59","","Piazzini Suárez, 2004",6.729167,-76.083056,0,0,0,0,0,0,
"UMG 60","","Piazzini Suárez, 2004",6.728611,-76.0825,0,0,0,0,0,0,
"UMG 62","","Piazzini Suárez, 2004",6.727222,-76.083333,0,0,0,0,0,0,
"UMG 67","","Piazzini Suárez, 2004",6.7375,-76.086389,0,0,0,0,0,0,
"UMG 77","","Piazzini Suárez, 2004",6.734444,-76.089444,0,0,0,0,0,0,
"UMG 71","","Piazzini Suárez, 2004",6.737222,-76.090556,0,0,0,0,0,0,
"UMG 72","","Piazzini Suárez, 2004",6.738056,-76.090556,0,0,0,0,0,0,
"UMG 78","","Piazzini Suárez, 2004",6.736667,-76.09,0,0,0,0,0,0,
"UMG 4","","Piazzini Suárez, 2004",6.752222,-76.099444,0,0,0,0,0,0,
"UMG 5","","Piazzini Suárez, 2004",6.76,-76.091389,0,0,0,0,0,0,
"UMG 16","","Piazzini Suárez, 2004",6.727069,-76.098067,0,0,0,0,0,0,
"UMG 17","","Piazzini Suárez, 2004",6.756944,-76.1025,0,0,0,0,0,0,
"UMG 21","","Piazzini Suárez, 2004",6.775833,-76.095278,0,0,0,0,0,0,
"UMG 41","","Piazzini Suárez, 2004",6.814167,-76.172222,0,0,0,0,0,0,
"UMG 43","","Piazzini Suárez, 2004",6.809167,-76.104444,0,0,0,0,0,0,
"UMP 227","","Piazzini Suárez, 2009",6.780278,-76.202222,0,0,0,0,0,0,
"UMP 228","","Piazzini Suárez, 2009",6.771111,-76.201111,0,0,0,0,0,0,
"UMP 229","","Piazzini Suárez, 2009",6.753056,-76.224722,0,0,0,0,0,0,
"UMP 230","","Piazzini Suárez, 2009",6.784722,-76.192222,0,0,0,0,0,0,
"UMP 231","","Piazzini Suárez, 2009",6.753611,-76.224167,0,0,0,0,0,0,
"UMP 232","","Piazzini Suárez, 2009",6.781389,-76.201667,0,0,0,0,0,0,
"UMP 233","","Piazzini Suárez, 2009",6.758611,-76.221944,0,0,0,0,0,0,
"UMP 234","","Piazzini Suárez, 2009",6.778333,-76.209444,0,0,0,0,0,0,
"UMP 235","","Piazzini Suárez, 2009",6.758611,-76.223333,0,0,0,0,0,0,
"UMP 236","","Piazzini Suárez, 2009",6.776389,-76.212778,0,0,0,0,0,0,
"UMP 237","","Piazzini Suárez, 2009",6.763611,-76.223056,0,0,0,0,0,0,
"UMP 238","","Piazzini Suárez, 2009",6.776944,-76.2125,0,0,0,0,0,0,
