Número Laboratorio,Fecha AP,Región,Sitio,Fecha aC/dC,Etapa,Referencia,Título,Página,Tipo de fecha,Material,Fecha cristiana,Variación,Nivel,Profundidad,Contexto,Estructura,Período,Comentario,Incongruencias,Uso
Beta 116594,5870,,Sin información,,Formativo,Obregón et al. 1998,"Acercamiento arqueológico a sitios prehispánicos alrededor de una fuente salina. Corregimiento Santa Rita, Municipio de Andes.",6,C-14,Carbón,-3920,100,,,,,,,FALSE,FALSE
Beta 116763,2850,,El Jordán,,Formativo,Salgado 1998,Exploraciones arqueológicas en la Cordillera Central. Roncesvalles - Tolima.,"7, 84",C-14,Carbón,-900,50,,100-110,,,Formativo,"Terraza 1, Unidad de Excavación 14; Hzte Ap3b2, parte superior",FALSE,FALSE
Beta 116764,9760,,El Jordán,,Paleoindio,Salgado 1998,Exploraciones arqueológicas en la Cordillera Central. Roncesvalles - Tolima.,"7, 84",C-14,Carbón,-7810,160,,110-130,,,,"Terraza 1, Unidad de Excavación 14",FALSE,FALSE
Beta 118042,1530,,Tasajera,,Cacicazgos,Rivera & Betancur 1997,Monitoreo arqueológico de la Línea Troncal del Gasoducto Sebastopol - Medellín.,70,C-14,Carbón,420,60,,230-250,Tumba,,,Tumba 1,FALSE,FALSE
Beta 11805,430,Valles alto Calima y alto y medio del Cauca,Ceilán,,Cacicazgos,"Cardale,  Bray &  Herrera 1989",Reconstruyendo el pasado en Calima. Resultados recientes.,,,,1520,120,,,,,,"Fecha de tablas de Erigaie, sin página",TRUE,FALSE
Beta 12071,460,Magdalena medio,"Landázuri, Loma del Colegio",,Cacicazgos,"Lleras, 1988",Un conjunto orfebre asociado a cerámica Guane.,55,C-14,Carbón,1490,80,,,Tumba,,Guane,"Langebaek (1992:115-117)  considera que la base empírica para sustentar la existencia de ""colonias bietnicas""  (Lleras, 1988: 80) no es sólida. (Con ficha). Esta fecha aparece en el catalogo de Erigaie como perteneciente al sitio Loma del Colegio",FALSE,FALSE
Beta 12072,740,Montaña Santandereana,Palogordo,,Cacicazgos,"Lleras, 1986; Lleras, &  Vargas, 1990:129",Palogordo: Una aldea Guane temprana.,45,C-14,Carbón,1210,50,Nivel 3,,Basurero,,Guane,"Se plantea la ""hipótesis de dos fases de desarrollo de la etnia Guane, las cuales estarían representadas por dos complejos cerámicos"" (Lleras & Vargas, 1990: 73). Palogordo II Cuadrícula C",FALSE,FALSE
Beta 12073,250,Alto Magdalena,Morelia,,Colonial,"Llanos, 1987",Pautas de asentamiento Agustinianas en el cañon del río Granates-Saladobanco.,20,C-14,Carbón,1700,90,,90,Habitación,,Colonial,"""se trata de una supervivencia indígena prehispánica en una situación de marginamiento colonial hispánico"" (LLanos 1988: 71). Morelia Terraza 43 Corte III. La 2a publicación de la fecha 1988:13 tiene el número de lab 12073 Cual es correcto?. En el catalo de Franz aparece con profundidad 25",TRUE,FALSE
Beta 125263,1690,Altiplano Cundiboyacense,Arboloco,,, Pinto 2003,"Galindo, un sitio a cielo abierto de cazadores/recolectores en la sabana de Bogotá Colombia.",49,,,260,90,Nivel 3,,,,,,FALSE,FALSE
Beta 125264,2060,Altiplano Cundiboyacense,Arboloco,,Paleoindio,Pinto 2003:49,"Galindo, un sitio a cielo abierto de cazadores/recolectores en la sabana de Bogotá Colombia.",49,,,-110,65,Nivel 3,,,,,,FALSE,FALSE
Beta 12564,2000,,Los Asientos 1,,Cacicazgos,Botero et al. 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,166,C-14,Carbón,-50,70,Estrato III,,,,,Pozo de Sondeo 1,FALSE,FALSE
Beta 129227,870,Altiplano Cundiboyacense,,,Cacicazgos,Buitrago & Rodríguez  1999,"Evidencias de enfermedad articular degenerativa (EDA) en poblaciones Muiscas de Sogamoso, Boyacá.",,,,1080,40,,,,,Muisca,"Resámen publicado en los resumenes de  I Congreso de Arqueología en Colombia. Universidad de Caldas, Manizales, Octubre 28 al 30 1999.",FALSE,FALSE
Beta 129230,1760,Altiplano Cundiboyacense,,,Cacicazgos,Buitrago & Rodríguez  1999,"Evidencias de enfermedad articular degenerativa (EDA) en poblaciones Muiscas de Sogamoso, Boyacá.",51,,,190,40,,,,,Muisca,"Resámen publicado en los resumenes de  I Congreso de Arqueología en Colombia. Universidad de Caldas, Manizales, Octubre 28 al 30 1999.",FALSE,FALSE
Beta 129236,1620,Altiplano Cundiboyacense,Arboloco,,Cacicazgos,Pinto 2003,"Galindo, un sitio a cielo abierto de cazadores/recolectores en la sabana de Bogotá Colombia.",49,,,330,80,Nivel 3,,,,,,FALSE,FALSE
Beta 129238,630,Altiplano Cundiboyacense,,,Cacicazgos,Buitrago & Rodríguez  1999,"Evidencias de enfermedad articular degenerativa (EDA) en poblaciones Muiscas de Sogamoso, Boyacá.",,,,1320,40,,,,,Muisca,"Resámen publicado en los resumenes de  I Congreso de Arqueología en Colombia. Universidad de Caldas, Manizales, Octubre 28 al 30 1999.",FALSE,FALSE
Beta 12994,950,Sierra Nevada,Buritaca 200,,Cacicazgos,"Oyuela, 1986","Excavación de un basurero en Ciudad Perdida, Sierra Nevada de Santa Marta.",28,C-14,Carbón,1000,70,,140-150,Basurero,,Tairona,"Buritaca 200 Eje Central - La Capilla. Ver Cadavid, 1986:23. Bray 1995:111",FALSE,FALSE
Beta 13327,4190,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Rotinet,,Formativo,"Angulo, 1995",Modos de vida en la prehistoria de la llanura Atlántica de Colombia.,25,,,-2240,120,,,,,,,FALSE,FALSE
Beta 13346,670,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Guájaro,,Cacicazgos,"Angulo, 1986",Arqueología de la Ciénaga de Guájaro (Departamento del Atlántico).,13,,,1280,90,,,,,,"Complejo temprano fecha final. Tiene budares pero carece de instrumentos para procesar granos, gran cantidad de trabajo en hueso, fabricación de puntas de proyectil.",FALSE,FALSE
Beta 13347,4190,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Rotinet,,Formativo,"Angulo,1986; 1988:22,23; 1995:18,20",Arqueología de la Ciénaga de Guájaro (Departamento del Atlántico).,13,C-14,,-2240,120,,,,Conchero,Rotinet,Ver reseña crítica del sitio en Rodríguez (1988) y del contexto en Archila (1991) y Oyuela (1993). Sale del corte 7.,FALSE,FALSE
Beta 13348,7310,Valles alto Calima y alto y medio del Cauca,El Pital,,Paleoindio,"Salgado, 1986;1989:53; 62; 97; 167;1995:93","Investigaciones arqueológicas en el curso medio del río Calima, cordillera occidental, Colombia.",7,C-14,Carbón,-5360,140,Estratos 7A-7B,220-230,,,,"Otros detalles del ""Precerámico"" en Herrera et al. (1987), Herrera et al. (1992:145), allí tiene un diferencia de 10 años. El Pital Trinchera 1, Salgado 1989:62. Los restos arqueológicos de la ocupación fechada van de los 240 cm a los 195 de profundidad, en una pequeña depresión cerca a la quebrada El Pital (Salgado 1995:93). Pinto 2003:40",TRUE,FALSE
Beta 13349,2260,Valles alto Calima y alto y medio del Cauca,El Pital,,Cacicazgos,"Salgado, 1986; 1989:71; Cardale, 1986:37","Investigaciones arqueológicas en el curso medio del río Calima, cordillera occidental, Colombia.",10,C-14,Carbón,-310,80,Estrato 4,150-160,Habitación,,Ilama,Calibrada en 379 (489-120) AC en Bray et al. (1988: 5). El Pital Trinchera 5. Ver también Salgado 1989:71,FALSE,FALSE
Beta 13948,1290,Sierra Nevada,Buritaca 204,,Cacicazgos,"Cardoso, 1986",Nuevos aportes para el conocimiento cronológico del área Tairona.,39,C-14,Carbón,660,90,,,Habitación,,Tairona,"Ver ficha Buritaca 204. La fecha salió del nivel más profundo sin saber la profundidad (Frontera) Terraza 18.  Cadavid, 1986:23. Bray 1995:110-111 (frontera).",FALSE,FALSE
Beta 13949,790,Sierra Nevada,Buritaca 204,,Cacicazgos,"Cardoso, 1986",Nuevos aportes para el conocimiento cronológico del área Tairona.,39,C-14,Carbón,1160,80,,,Habitación,,Tairona clásico,(Frontera) Terraza 22B. Lo llaman Tairona clásico.,FALSE,FALSE
Beta 14333,950,"Uraba, alto Sinú",El Gallo I,,Cacicazgos,"Botiva, et al. 1991",El alto Sinú: 17 siglos de asentamiento ribereño.,3,C-14,Carbón,1000,70,,,Tumba,,,El Gallo I,FALSE,FALSE
Beta 144489,1550,Valles alto Calima y alto y medio del Cauca,Samarraya,,Cacicazgos,Uribe 2005,"Mujeres, calabazos, brillo y tumbaga. Símbolos de vida y transformación en la orfebrería Quimbaya temprana.",67,C-14,Núcleo fundición,400,40,,,,,,"Muncipio Pueblorrico, Risaralda.",FALSE,FALSE
Beta 14809,2670,Valles alto Calima y alto y medio del Cauca,El Topacio,,Formativo,"Cardale, 1987;Bray et al., 1987:452;1988:5",La cultura Ilama - resultados recientes.,37,C-14,Carbón,-720,70,,,Habitación,,Ilama,Calibrada en 823 (1040-540) AC en Bray et al. (1988: 5). Existe un diferencia 20 años entre la cita de Cardale 1986 y los demás.,TRUE,FALSE
Beta 14810,1710,Valles alto Calima y alto y medio del Cauca,El Topacio,,Cacicazgos,"Cardale, et al. 1989",Reconstruyendo el pasado en Calima. Resultados recientes.,25,C-14,Carbón,240,70,,,Basurero,,Yotoco,"Cardale et al. (1989: 25) y Rodríguez (1992: 104) dan como fuente a Bray et al (1988) en donde tal datación no aparece. Herrera (1989: 155) cita una ""comunicación personal"" de Cardale.",TRUE,FALSE
Beta 14811,1110,Valles alto Calima y alto y medio del Cauca,El Topacio,,Cacicazgos,"Cardale, et al. 1989",Reconstruyendo el pasado en Calima. Resultados recientes.,25,C-14,Carbón,840,90,,,Campo de cultivo,,Yotoco,"Cardale et al. (1989: 25) y Rodríguez (1992: 105) dan como fuente a Bray et al (1988) en donde tal datación no aparece. Herrera (1989: 155) cita una ""comunicación personal"" de Cardale.",TRUE,FALSE
Beta 148857,60,Magdalena medio,S4 T2,,Colonial,"Salgado et., al. 2006","Antiguos pobladores en el valle del Magdalena Tolimense, Espinal-Colombia.",91,C-14,Carbón,1860,90,,,Tumba,,,"Sitio 4, Tumba 2. Sitio saqueado. La fecha, igual que otras 7 realizadas durante el proyecto no son confiables.",FALSE,FALSE
Beta 1500,2255,Valles alto Calima y alto y medio del Cauca,Montañitas,,Cacicazgos,Bray; Herrera & Cardale1981,Report on the 1980 field season in Calima.,"2, 4, 20",C-14,Carbón,-305,100,,,Tumba,,Pavas/Sonso,"Entierro secundario. Dudosa. Se considera ""muy temprana"" y la muestra datada provino de una urna perteneciente a una ""colección privada"" (Bray, et al., 1981: 4; Gahwiler, 1988: 58-59, 1989: 98).",TRUE,FALSE
Beta 1501,1340,Valles alto Calima y alto y medio del Cauca,La Virginia,,Cacicazgos,Bray; Herrera & Cardale1981,Report on the 1980 field season in Calima.,"2, 4",C-14,Carbón,610,75,,,Tumba,,Sonso,Entierro secundario con urna.Ver Gahwiler (1989: 99).,FALSE,FALSE
Beta 1502,2120,Valles alto Calima y alto y medio del Cauca,La Iberia,,Cacicazgos,"Bray, et al. 1981",Report on the 1980 field season in Calima.,2,C-14,Carbón,-170,65,,,Tumba,,Yotoco,"Revisar fecha AP, la muestra salió de Tumba 1.",TRUE,FALSE
Beta 1503,1815,Tierras bajas orientales,Araracuara 21,,Cacicazgos,"Herrera, et al. 1980-1981","Datos sobre la arqueología de Araracuara (Comisaria del Amazonas, Colombia).",246,C-14,Carbón,135,105,,14-25,,,Camani,Ver crítica sobre la secuencia Camani-Nofurei en Cavelier et al. (1987); Cavelier et al. (1991) y Urrego et al. (1995).,FALSE,FALSE
Beta 1504,1690,Tierras bajas orientales,Araracuara 22,,Cacicazgos,"Herrera, et al. 1980-1981","Datos sobre la arqueología de Araracuara (Comisaria del Amazonas, Colombia).",246,C-14,Carbón,260,55,,30-60,Basurero,,Camani,Ver crítica sobre la secuencia Camani-Nofurei en Cavelier et al. (1987); Cavelier et al. (1991) y Urrego et al. (1995).,FALSE,FALSE
Beta 1505,1420,Tierras bajas orientales,Araracuara 15,,Cacicazgos,"Herrera, et al. 1980-1981","Datos sobre la arqueología de Araracuara (Comisaria del Amazonas, Colombia).","201, 246",C-14,Carbón,530,70,A3,,Basurero,,Camani,Ver crítica sobre la secuencia Camani-Nofurei en Cavelier et al. (1987); Cavelier et al. (1991) y Urrego et al. (1995).,FALSE,FALSE
Beta 1506,705,Tierras bajas orientales,Araracuara 15,,Cacicazgos,"Herrera, et al. 1980-1981","Datos sobre la arqueología de Araracuara (Comisaria del Amazonas, Colombia).","201, 246",C-14,Carbón,1245,60,A3,,Basurero,,Nofurei,Ver crítica sobre la secuencia Camani-Nofurei en Cavelier et al. (1987); Cavelier et al. (1991) y Urrego et al. (1995).,FALSE,FALSE
Beta 1507,1145,Tierras bajas orientales,Araracuara 15,,Cacicazgos,"Herrera, et al. 1980-1981","Datos sobre la arqueología de Araracuara (Comisaria del Amazonas, Colombia).","201, 246",C-14,Carbón,805,80,A2/A3,,,,Nofurei/Camani,Ver crítica sobre la secuencia Camani-Nofurei en Cavelier et al. (1987); Cavelier et al. (1991) y Urrego et al. (1995).,FALSE,FALSE
Beta 1508,1120,Tierras bajas orientales,Araracuara 15,,Cacicazgos,"Herrera, et al. 1980-1981","Datos sobre la arqueología de Araracuara (Comisaria del Amazonas, Colombia).","201, 246",C-14,Carbón,830,65,A3,,,,Camani,Ver crítica sobre la secuencia Camani-Nofurei en Cavelier et al. (1987); Cavelier et al. (1991) y Urrego et al. (1995).,FALSE,FALSE
Beta 1509,1480,Tierras bajas orientales,Araracuara 15,,Cacicazgos,"Herrera, et al. 1980-1981","Datos sobre la arqueología de Araracuara (Comisaria del Amazonas, Colombia).","201, 246",C-14,Carbón,470,95,A4,,,,Camani,Ver crítica sobre la secuencia Camani-Nofurei en Cavelier et al. (1987); Cavelier et al. (1991) y Urrego et al. (1995).,FALSE,FALSE
Beta 1510,340,Tierras bajas orientales,Araracuara 7,,Colonial,"Herrera, et al. 1980-1981","Datos sobre la arqueología de Araracuara (Comisaria del Amazonas, Colombia).",246,C-14,Carbón,1610,50,,25,,,Nofurei,Ver crítica sobre la secuencia Camani-Nofurei en Cavelier et al. (1987); Cavelier et al. (1991) y Urrego et al. (1995).,FALSE,FALSE
Beta 15706,1110,Altiplano Cundiboyacense,"Busbazá LP-I , Vereda La Puerta",,Cacicazgos,"Archila, 1986",Nuevo aporte cronológico para el área Muisca.,36,C-14,Carbón,840,60,,120,Habitación,,Muisca,"Vincula un tipo de cerámica a la cerámica encontrada por Castillo en Tunja (1984). y un ""gran horizonte"" del occidente venezolano (Archila 1986: 137, Tesis). I",FALSE,FALSE
Beta 15985,1030,Montaña Santandereana,Palogordo,1080,Cacicazgos,"Lleras, 1986; Lleras, & Vargas, 1990:129",Palogordo: Una aldea Guane temprana.,45,C-14,Carbón,920,60,Nivel 6,,Basurero,,Guane,"Se plantea la ""hipótesis de dos fases de desarrollo de la etnia Guane, las cuales estarían representadas por dos complejos cerámicos"" (Lleras y Vargas 1990: 73). Palogordo II Cuadrícula C",FALSE,FALSE
Beta 15986,370,Altiplano Cundiboyacense,Nuevo Colón,,Cacicazgos,"Lleras, 1986; 1989:98",Arqueología del alto Valle de Tenza (1).,34,C-14,Carbón,1580,80,,,Tumba,,Muisca,"Botiva 1988:103 agrega esta información Tumba 1, con tipos cerámicas ""Guatavita Desgrasante Gris"", ""Guatavita desgrasante Tiesto"", ""Suta Naranja Pulido"", ""Valle de Tenza Gris"" y ""Funza Curazo Fino"".",FALSE,FALSE
Beta 16124,1100,Peninsula de la Guajira y corredor del Cesar,San Ramón 1,,Cacicazgos,"Ardila, 1986","Los Tiempos de las conchas. Ecología, historia y sociedad en la costa de la Guajira.",,,,850,90,,,,,,Información Eriagie,FALSE,FALSE
Beta 16125,3650,Llanuras del Caribe cuencas bajas Sinú y San Jorge,El Pozón,,Formativo,"Plazas, & Falchetti 1986","Cerámica arcaica en las sabanas de San Marcos, Sucre.",16,C-14,Carbón,-1700,60,,75-100,Basurero,,,"El yacimiento fue destruido y la muestra cerámica recuperada se consideró pequeña (298 fragmentos). Ver comentarios de Rodríguez (1988), Archila (1991) y Oyuela (1993).",FALSE,FALSE
Beta 16165,1660,"Uraba, alto Sinú",El Cabrero,,Cacicazgos,"Botiva, et al. 1991",El alto Sinú: 17 siglos de asentamiento ribereño.,3,C-14,Carbón,290,60,,25-50,,,,,FALSE,FALSE
Beta 16166,1470,"Uraba, alto Sinú",El Cabrero,,Cacicazgos,"Botiva, et al. 1991",El alto Sinú: 17 siglos de asentamiento ribereño.,3,C-14,Carbón,480,70,,50-75,,,,,FALSE,FALSE
Beta 16167,1060,"Uraba, alto Sinú",El Cabrero,,Cacicazgos,"Botiva, et al. 1991",El alto Sinú: 17 siglos de asentamiento ribereño.,3,C-14,Carbón,890,60,,130,,,,,FALSE,FALSE
Beta 16168,990,"Uraba, alto Sinú",Frasquillo,,Cacicazgos,"Botiva, et al. 1991",El alto Sinú: 17 siglos de asentamiento ribereño.,3,C-14,Carbón,960,90,,65-75,,,,,FALSE,FALSE
Beta 16169,1050,"Uraba, alto Sinú",El Gallo II,,Cacicazgos,"Botiva, et al. 1991",El alto Sinú: 17 siglos de asentamiento ribereño.,3,C-14,Carbón,900,70,Nivel 7,,,,,El Gallo II,FALSE,FALSE
Beta 16170,1200,"Uraba, alto Sinú",El Gallo II,,Cacicazgos,"Botiva, et al. 1991",El alto Sinú: 17 siglos de asentamiento ribereño.,3,C-14,Carbón,750,80,,30-50,,,,El Gallo II Trinchera IV Cuadrícula 5,FALSE,FALSE
Beta 16253,1270,"Uraba, alto Sinú",San Pedro,,Cacicazgos,"Plazas; Falchetti, Sáenz  & Archila 1993",La sociedad hidráulica Zenu. Estudio arqueológico de 2000 años de historia en las llanuras del Caribe colombiano.,61,C-14,Carbón,680,60,,80-100,Basurero,,Comlejo Rabón,Plataforma de vivienda. Cerámica Granulosa Incisa y Modelada Pintada (Complejo Rabón). Ver Plazas & Falchetti (1981). San Pedro 2 P1,FALSE,FALSE
Beta 16839,4090,Valles alto Calima y alto y medio del Cauca,El Pital,,Formativo,"Salgado 1986;1995:96;1989;53;68;167.Cardale, 1986:37","Investigaciones arqueológicas en el curso medio del río Calima, cordillera occidental, Colombia.",10,C-14,Carbón,-2140,90,Estrato 8,170-190 cms.,,,,"Ver Herrera et al. (1988:42;1992:145, 163). El Pital Trinchera 6. La fecha que aparece con este número en Herrera et al 1988:42 es 5350 a.C. ± 140. Estos es un error, que es corregido en Herrera 1992:163. Pinto 2003:40",TRUE,FALSE
Beta 16945,1300,Valles alto Calima y alto y medio del Cauca,Cabo de la Vela,,Cacicazgos,"Salgado, 1993",Investigaciones arqueológicas en el poblado prehispánico de Jiguales-Calima (segunda temporada).,70,C-14,Carbón,650,80," 33, 34, 37, 41 y 42",35-47,Habitación,,Sonso,"Apartir de Beta 4679,16945,16946,27884,37577,37578,39368 y Durham 165-2BSpfg, Salgado y Rodríguez (1989), Cardale et al. (1989), Rodríguez (1992) y Salgado (1993) discuten la convivencia Yotoco-Sonso. Cabo de la Vela huellas de poste. Cuadrículas1 y 2. Vivienda 2 - Cuad. C1-C2,  Postes 33, 34, 37, 41 y 42",FALSE,FALSE
Beta 16946,1090,Valles alto Calima y alto y medio del Cauca,Cabo de la Vela,,Cacicazgos,"Salgado, 1993",Investigaciones arqueológicas en el poblado prehispánico de Jiguales-Calima (segunda temporada).,77,C-14,Carbón,860,60,,30-55,Habitación,,Sonso,"Muestra datada tomada de las cuadrículas B4, B5 y B6, en donde se delimitó con huellas de poste la (presunta) planta de una vivienda (Salgado 1993: 70). Cabo de la Vela Vivienda 3. Ver reseña de Therrien (1992).",FALSE,FALSE
Beta 16947,1580,Valles alto Calima y alto y medio del Cauca,Cabo de la Vela,,Cacicazgos,"Salgado, 1993",Investigaciones arqueológicas en el poblado prehispánico de Jiguales-Calima (segunda temporada).,9; 81,C-14,Carbón,370,60,,,Habitación,,Yotoco,Otros detalles de las excavaciones en Rodríguez y Salgado (1990); Salgado y Rodríguez (1989); Rodríguez (1992). reseña de Therrien (1992). Cabo de la Vela Vivienda 5 Pozo 1,FALSE,FALSE
Beta 17015,1420,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Japón 1,,Cacicazgos,"Plazas, et al. 1993; 1988:78-79; 1992:195; 1993:61",La sociedad hidráulica Zenu. Estudio arqueológico de 2000 años de historia en las llanuras del Caribe colombiano.,61,C-14,,530,180,,80-112,Basurero,,Complejo Rabón,ver Plazas et al. (1988: 78-79); Plazas et al. (1992: 195); Plazas et al. (1993: 61).Plataforma de vivienda. Modelada Incisa; Modelada Pintada - Complejo Rabón. Caño Marusa Jap 1(20) P1. En las tablas de la Fundación aparece como Japón 1 el sitio,FALSE,FALSE
Beta 17016,1820,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Negritos 5,,Cacicazgos,"Plazas; Falchetti, Sáenz  & Archila 1993",La sociedad hidráulica Zenu. Estudio arqueológico de 2000 años de historia en las llanuras del Caribe colombiano.,60,C-14,,130,100,,70-95,Basurero,,Complejo Negritos (?),"Basurero en plataforma de vivienda, ver Plazas et al. (1988: 78-79); Plazas et al. (1992: 195); Plazas et al. (1993: 61).cerámica modelada pintada. Negritos 5 P3",FALSE,FALSE
Beta 17017,1080,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Pimienta 5,,Cacicazgos,"Plazas; Falchetti, Sáenz  & Archila 1993",La sociedad hidráulica Zenu. Estudio arqueológico de 2000 años de historia en las llanuras del Caribe colombiano.,61,C-14,,870,110,,40-50,Basurero,,Complejo Carate Pajaral,"Basurero en plataforma de vivienda, ver Plazas et al. (1988: 78-79); Plazas et al. (1992: 195); Plazas et al. (1993: 61). cerámica modelada pintada. -Complejo Carate Pajaral- Pimienta 5 P1",FALSE,FALSE
Beta 1834,310,Valles alto Calima y alto y medio del Cauca,Cortijo de los Calimas,,Colonial,"Bray, et al., 1981",Report on the 1980 field season in Calima.,2,C-14,Carbón,1640,70,,,Habitación,,Sonso,"Tambo A. La muestra datada provino de 1 de los 4 ""tambos"" excavados por Rupert Spillman (?) de los cuales no se dan mayores detalles estratigráficos.",TRUE,FALSE
Beta 1835,1185,Valles alto Calima y alto y medio del Cauca,Tres Esquinas,,Cacicazgos,"Bray, et al. 1981",Report on the 1980 field season in Calima.,4,C-14,Carbón,765,115,,,Tumba,,Sonso,Entierros secundarios en urna. Ver Gahwiler (1989: 98). Tumba A,FALSE,FALSE
Beta 1836,2145,Valles alto Calima y alto y medio del Cauca,La Alsacia,,Cacicazgos,"Bray, et al. 1981",Report on the 1980 field season in Calima.,15,C-14,Carbón,-195,185,Nivel 3,,,,Yotoco,Rodríguez (1992: 104) la reporta como Beta 18365.  Plataforma 1 Trinchera 1,TRUE,FALSE
Beta 1837,2345,Valles alto Calima y alto y medio del Cauca,La Aurora,,Cacicazgos,"Bray, et al. 1981",Report on the 1980 field season in Calima.,2,C-14,Carbón,-395,85,,,,,Ilama,Calibrada en 399 (770-200) AC en Bray et al. (1988: 5). Trinchera 3,FALSE,FALSE
Beta 18441,9300,Valles alto Calima y alto y medio del Cauca,Sauzalito,,Paleoindio,Bray; Herrera &  Cardale 1987,Report on the 1984 field season in Calima.,41,C-14,Carbón,-7350,100,,,,,,"Herrera et al. (1992:146, 163). En Herrera et al. (1987: 448) aparece como Beta 18841.  Sondeo. Se asocia a piedras burdas, raspadores, cuentas de cantos rodados planos y una azada -instrumento para enmangar (Herrera et al 1992:146) -",TRUE,FALSE
Beta 19368,1490,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Papayo,,Cacicazgos,"Plazas; Falchetti, Sáenz  & Archila 1993",La sociedad hidráulica Zenu. Estudio arqueológico de 2000 años de historia en las llanuras del Caribe colombiano.,61,C-14,,460,90,,64-73,Basurero,,"Complejo Carate Pajaral - Cerámica Granulosa Incisa, Modelada Pintada","Basurero en plataforma de vivienda, ver Plazas et al. (1988: 78-79); Plazas et al. (1992: 195); Plazas et al. (1993: 61).. Cerámica granulosa Incisa; Modelada Pintada (complejo Carte-Pajaral. Papayo I.",FALSE,FALSE
Beta 19369,980,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Tigrera,,Cacicazgos,"Langebaek, 1987","La cronología de la región arqueológica Tairona vista desde Papare, municipio de Ciénaga.",87,C-14,Carbón,970,80,,60-70,,,Tairona temprano,"Fecha asociada a cerámica rojo inciso, la cual se asocia con la introducción de la alfarería Tairona. En el catalogo de Erigaie están invertidas la fecha AP y la fecha Cristiana.",FALSE,FALSE
Beta 19515,2450,Valles alto Calima y alto y medio del Cauca,El Topacio,,Cacicazgos,Bray; Herrera &  Cardale 1987,Report on the 1984 field season in Calima.,5,C-14,Carbón,-500,80,,,Habitación,,Ilama,"Calibrada en 752, 709, 530 (800-390) AC en Bray et al. (1988: 5).",FALSE,FALSE
Beta 19516,2250,Valles alto Calima y alto y medio del Cauca,El Topacio,,Cacicazgos,Bray; Herrera &  Cardale 1987,Report on the 1984 field season in Calima.,5,C-14,Carbón,-300,70,,,Habitación,,Ilama,Calibrada en 374 (410-123) AC en Bray et al. (1988: 5).,FALSE,FALSE
Beta 20119,1930,Alto Magdalena,El Mondey,,Cacicazgos,"Moreno, 1991",Pautas de asentamiento agustinianas en el noroccidente de Saladoblanco (Huila).,"13, 43",C-14,Carbón,20,70,Nivel A4,22,Habitación,,Formativo Inferior,"Ver reseña de Boada (1990) y comentarios de Drennan (1993). El autor la presenta como formativo. El Mondey, corte II 4.",FALSE,FALSE
Beta 20120,2210,Alto Magdalena,El Mondey,,Cacicazgos,"Moreno, 1991",Pautas de asentamiento agustinianas en el noroccidente de Saladoblanco (Huila).,"13, 43",C-14,Carbón,-260,70,,,Habitación,,Formativo Inferior,"Ver reseña de Boada (1990) y comentarios de Drennan (1993). La fecha inicialmente estaba como formativo, pero no  cuadra dentro de nuevo esquema. El Mondey, corte III 1",FALSE,FALSE
Beta 20352,5700,Llanuras del Caribe cuencas bajas Sinú y San Jorge,San Jacinto I,220,Formativo,"Oyuela, 1987; 1993",Dos sitios arqueológicos con desgrasante de fibra vegetal en la serrania de San Jacinto (Departamento de Bolivar).,6,C-14,Carbón,-3750,430,,,,,,"Ver Archila (1993). Oyuela, 1993.",FALSE,FALSE
Beta 20603,1840,Costa Pacífica,La Cocotera,,Cacicazgos,"Patiño, 1988",Asentamientos prehispánicos en la costa Pacífica caucana.,63,C-14,Carbón,110,60,,30-60,Basurero,,La Cocotera,Ver Salgado et al. (1995).La Cocotera Trichera 1,FALSE,FALSE
Beta 20604,2140,Costa Pacífica,Las Delicias-Timbiquí,,Cacicazgos,"Patiño, 1987;1988:38","Arqueología de la costa Pacífica caucana, Colombia.",71,C-14,Carbón,-190,90,,,,,,,FALSE,FALSE
Beta 20635,1570,Ecuador,C 36-I,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,380,60,Capa 2 (Layer 2),,,,Guadual,Cuadrícula C 2. Ver ficha C 36,FALSE,FALSE
Beta 20636,1540,Ecuador,C 36-II,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,410,80,Capa 4 (Layer 4),,,,Selva Alegre - Guadual,Cuadrícula C 2. Ver ficha C 36,FALSE,FALSE
Beta 20637,1790,Ecuador,C 36-II,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,160,300,Capa 4 (Layer 4),,,,Selva Alegre - Guadual,Cuadrícula C 2. Ver ficha C 36,FALSE,FALSE
