Contador,Autor,Año,Título,Publicado,Area
5436,"Bouchard, Jean-François",1982,"Excavaciones arqueológicas en la región de Tumaco, Nariño, Colombia.","Revista Colombiana de Antropología, 24:125-334.",Arqueología Colombiana
5437,"Brando, Mariana",1971,Excavaciones arqueológicas en la sabana de Bogotá.,"Tesis de Grado Universidad de Los Andes (Inédito), Bogotá.",Arqueología Colombiana
8898,"Bray, Tamara L.",2001,"Skeuomorphos, conchas de cerámica en los Andes septentrionales: ideoloía, emulación e intercambio a larga distancia.","Revista de Arqueología del Área Intermedia, 3:11-24.",Arqueología Colombiana
5276,"Bray, Warwick",1979,"El Dorado, the gold of ancient Colombia. An exhibition organized by The Center for Inter-American Relations and the American Federation of Arts.","Cambridge, England : Chadwyck-Healey.",Arqueología Colombiana
5842,"Bray, Warwick",1989,Las culturas prehispánicas de Calima.,"Arte de la tierra, cultura Calima. Fondo de Promoción de la Cultura del Banco Popular, Colección Tesoros precolombinos.pp 6-10  Bogotá.",Arqueología Colombiana
5668,"Bray, Warwick",1976,Investigaciones arqueológicas en el valle de Calima. Informe preliminar.,"Cespedesia, 5(17-18):47-53.",Arqueología Colombiana
4875,"Bray, Warwick",1984,Across the Darien gap: a colombian view of isthmian archaeology.,"The Archaeology of Lower Central America, editado por F. Lange y D. Stone.  pp 305-340 University of New Mexico press Albuquerque.",Arqueología Colombiana
5760,"Bray, Warwick",1991,La culture Yotoco. Calima.,Trois cultures précolombiennes dans le sud-ouest de la Colombie. pp         Editorial Payot Lausanne. Suisse.,Arqueología Colombiana
5527,"Bray, Warwick",1974,Gold working in ancient America.,"El Dorado: the gold of anvient Colombia, pp. 33-39. New York: center for inter American relations and the American federation of arts.",Arqueología Colombiana
6222,"Bray, Warwick",0,Proyectile points from the colombian Andes.,(Inédito).,Arqueología Colombiana
5528,"Bray, Warwick",2003,"Gold, stone, and ideology: symbols of power in theTairona tradition of northern Colombia.","Gold and Power in Ancient Costa Rica, Panama, and Colombia, eds., Jeffrey Quilter & John W. Hoopes, pp.  301-344. Dumbarton Oaks Research Library and Collection Washington, D.C. www.doaks.org/etexts.html",Arqueología Colombiana
6178,"Bray, Warwick",1981,Problems of chronology.,Pro Calima. Archäologisches-ethnologisches Projekt im westlichen Kolumbien/ Südamerika 2:2-4,Arqueología Colombiana
5310,"Bray, Warwick",1992,El período Yotoco.,"Calima diez mil años de historia en el suroccidente de Colombia, pp 75-124. Fundación Pro Calima.",Arqueología Colombiana
4860,"Bray, Warwick",1987,A new synthesis of colombian archaeology.,"The Quaterly review of Archaeology, winter, pp. 3-4.",Arqueología Colombiana
5956,"Bray, Warwick",1990,Making the case for 100% survey.,"Current Anthropology, 31(5):583-584.",Arqueología Colombiana
6507,"Bray, Warwick",1974,The organization of the metal trade.,"El Dorado: the gold of anvient Colombia, pp. 41-52. New York: center for inter American relations and the American federation of arts.",Arqueología Colombiana
6498,"Bray, Warwick",1978,The gold of El Dorado.,"Rainbird, The Royal Academy of arts and Time s Books, London.",Arqueología Colombiana
6422,"Bray, Warwick",1995,Searching for environmental stress: climatic and anthropogenic influences on the landscape of Colombia.,"Archaeology in the lowland american tropics. Current analytical methods and recent applications, ed, Peter W. Sthal. pp 96-112 Cambridge University Press.",Arqueología Colombiana
6539,"Bray, Warwick & Edward Moseley",1970,Tres estilos alfareros sucesivos en Buga (Cauca).,"Boletín de Antropología, 3 (12):209-218.",Arqueología Colombiana
6687,"Bray, Warwick & Edward Moseley",1976,"Una secuencia arqueológica en las vecindades de Buga, Colombia.","Cespedesia, 5(17-18): 55-78.",Arqueología Colombiana
5591,"Bray, Warwick, Herrera Leonor & Marianne Cardale-",1986,Informe del trabajo de campo de Calima durante el año de 1982.,"Boletín de Arqueología, 1(2):29-30.",Arqueología Colombiana
6481,"Bray, Warwick, Leonor Herrera; Marianne Cardale & Pedro Botero",1987,"The ancient agricultural landscape of Calima, Colombia.",Ponecia Presentada al 45 congreso de Americanistas 1985 de Bogotá. pp 443-481. Oxford BAR International Series.,Arqueología Colombiana
6315,"Bray, Warwick; Leonor Herrera & Marianne Cardale",1983,Report on the 1981 field season in Calima.,"Pro Calima Archaologisch-ethnologisches projekt im westlichen Kolumbien/Sedamerika, 3:2-30. Basel.",Arqueología Colombiana
6316,"Bray, Warwick; Leonor Herrera & Marianne Cardale",1985,Report on the 1982 field season in Calima.,"Pro Calima Archaologisch-ethnologisches projekt im westlichen Kolumbien/Sedamerika, 4:2-26. Basel.",Arqueología Colombiana
6314,"Bray, Warwick; Leonor Herrera & Marianne Cardale",1981,Report on the 1980 field season in Calima.,"Pro Calima Archaologisch-ethnologisches projekt im westlichen Kolumbien/Sedamerika, 2:1-24. Solothurn.",Arqueología Colombiana
6317,"Bray, Warwick; Leonor Herrera & Marianne Cardale",1987,Report on the 1984 field season in Calima.,"Pro Calima Archaologisch-ethnologisches projekt im westlichen Kolumbien/Sedamerika, 5:2-42. Solothurn.",Arqueología Colombiana
6166,"Bray, Warwick; Leonor Herrera & Marianne Cardalel",1981,Preliminary report on the 1980 field season.,"Pro Calima Archaologisch-ethnologisches projekt im westlichen Kolumbien/Sedamerika, No 2. Solothurn.",Arqueología Colombiana
6503,"Bray, Warwick; Leonor Herrera & Marianne Cardalel",1998,"The Malagana chiefdom, a new discovery in the Cauca Valley of Southwestern Colombia.","Shamans, gods, and mythic beasts. Colombian golds and ceramics in antiquity. Editado por  A. Labbé. Pp. 121-154. Washington: American Federation of Arts - University of Washington Press.",Arqueología Colombiana
5836,"Brettes, Joseph de",1945,Las antiguas tribus costaneras de los Caribes entre Riohacha y Santa Marta.,"Boletín de Historia y Antigüedades, 32:654-663",Arqueología Colombiana
6284,"Briceño, Pedro",2001,"Reconocimientos arqueológicos en los municipios de Armenia, la Tebaida, Calarcá, Salento y Pijao (Quindío).","Arqueología preventiva en el eje cafetero. Reconocimiento y rescate arqueológico en los municipios jurisdicción del Fondo, FOREC.Vol XI.Patrimnio Arqueológico en el ordenamiento territorial. P 51-73 Instituto Colombiano de Antropología e Historia. Bogotá.",Arqueología Colombiana
4858,"Bright, A.L",1972,A golsmith's blowpipe from Colombia.,"Man, 7:311-313.",Arqueología Colombiana
5816,"Broadbent, Sylvia",1989,La prehistoria del área Muisca.,Arte de la tierra. Muiscas y Guanes. Fondo de Promoción de la Cultura del Banco Popular Colección Tesoros Precolombinos.pp 10-16. Bogotá,Arqueología Colombiana
5714,"Broadbent, Sylvia",1974,Kunst in Kolumbien.,"Das Alte Amerika, ed., Gordon R. Willey, pp. 259-275 Propylaen Kunstgechichte, Band 18. Propylaen Verlag, Berlin.",Arqueología Colombiana
6162,"Broadbent, Sylvia",1969,Prehistoric chronology in the Sabana de Bogotá.,"Kroeber Anthropological Society Papers, 40:38-51.",Arqueología Colombiana
5454,"Broadbent, Sylvia",1962,Excavaciones arqueológicas en Tunjuelito. Informe preliminar.,"Revista Colombiana de Antropología, 10:341-346.",Arqueología Colombiana
6008,"Broadbent, Sylvia",1990,More Chibcha textiles.,"Antiquity, 64(245):841-843.",Arqueología Colombiana
5666,"Broadbent, Sylvia",1965,Investigaciones arqueológicas en el territorio Chibcha.,"Universidad de Los Andes, Bogotá.",Arqueología Colombiana
4919,"Broadbent, Sylvia",1967,"Análisis de cerámica chibcha de las regiones de Ráquira, y Chocontá, Guatavita, Funza, Mosquera y Tunjuelito.","Instituto Colombiano de Antropología, Bogotá. Inédito.",Arqueología Colombiana
5727,"Broadbent, Sylvia",1969,La Arqueología del territorio Chibcha II. Hallazgos aislados y monumentos de piedra.,"Ediciones Universidad de Los Andes, Antropología, No 4, Bogotá.",Arqueología Colombiana
6283,"Broadbent, Sylvia",1971,Reconocimientos arqueológicos de la laguna La Herrera.,"Revista Colombiana de Antropología, 15:171-213.",Arqueología Colombiana
5916,"Broadbent, Sylvia",1964,Los Chibchas organización socio-política.,"Facultad de Sociología, Universidad Nacional de Colombia, Serie Latinoamericana No 5, Bogotá",Arqueología Colombiana
4890,"Broadbent, Sylvia",1964,Agricultural terraces in Chibcha territory Colombia.,"American Antiquity, 29 (4):501-504.",Arqueología Colombiana
6441,"Broadbent, Sylvia",1974,Situación del Bogotá Chibcha.,"Revista Colombiana de Antropología, 17:117-131.",Arqueología Colombiana
6534,"Broadbent, Sylvia",1974,Tradiciones cerámicas de las altiplanicies  de Cundinarmarca y Boyacá.,"Revista Colombiana de Antropología, 16:223-248.",Arqueología Colombiana
6528,"Broadbent, Sylvia",1986,"Tipología cerámica en territorio Muisca, Colombiano.","Revista de Antropología Universidad de los Andes, 2(1-2):35-72.",Arqueología Colombiana
6496,"Broadbent, Sylvia",1981,The formation of peasant society in central Colombia.,"Ethnohistory, 28(3):259-277.",Arqueología Colombiana
6513,"Broadbent, Sylvia",1967,"The site of Chibcha, Bogotá.","Ñawpa Pacha, 4:1-13.",Arqueología Colombiana
6450,"Broadbent, Sylvia",1965,"Stone-roofed chambers in Chibcha territory, Colombia.","Ñawpa Pacha, 3:93-106.",Arqueología Colombiana
6490,"Broadbent, Sylvia",1987,"The Chibcha raised-field system in the Sabana de Bogotá, Colombia: Further investigations.","Pre-Hispanic agricultural fields in the Andean region, editado por  W. Denevan, K. Mathewson & G. Knnap. pp 425-442. B.A.R 359(2), Oxford.",Arqueología Colombiana
32096,"Broadbent, Sylvia Marguerite",1968,"A Prehistoric field system in Chibcha territory, Colombia.","Ñawpa Pacha: Journal of Andean Archaeology, 6: 135-147.",Arqueología Colombiana
6254,"Brucher, Priscilla",1985,Raíces de la arqueología en Colombia.,Universidad de Antioquia -Departamento de publicaciones. Medellín.,Arqueología Colombiana
5819,"Bruhns, Karen",1976,"La salina de los Quingos, nueva información sobre el intercambio prehispánico de sal.","Cespedesia, 5(17-18):89-110.",Arqueología Colombiana
5843,"Bruhns, Karen",1990,Las culturas prehispánicas del Cauca medio.,Arte de la tierra. Quimbayas. Fondo de Promoción de la Cultura del Banco Popular Colección Tesoros Precolombinos. pp 10-14. Bogotá.,Arqueología Colombiana
4952,"Bruhns, Karen",1994,Ancient South America.,"Cambridge University press, Cambridge, England.",Arqueología Colombiana
4950,"Bruhns, Karen",1976,"Ancient pottery of middle Cauca Valley, Colombia.","Cespedesia,  5(17-18):101-196.",Arqueología Colombiana
4951,"Bruhns, Karen",1967,Ancient pottery of the middle Cauca Valley.,"University Microfilms, Ann Arbor.",Arqueología Colombiana
4990,"Bruhns, Karen",1995,Archaeological investigations in central Colombia.,BAR International Series 606.,Arqueología Colombiana
6158,"Bruhns, Karen",1981,Prehispanic ridged fields of central Colombia.,"Journal of field Archaeology, 8(1):1-7.",Arqueología Colombiana
4866,"Bruhns, Karen",1970,A Quimbaya gold furnace?,"American Antiquity, 35(2):202-203",Arqueología Colombiana
6504,"Bruhns, Karen",1972,The methods of guaquería: illicit tomb looting in Colombia.,"Archaeology, 25(2):140-143.",Arqueología Colombiana
6452,"Bruhns, Karen",1970,"Stylistic affinities between the Quimbaya gold style and a little known ceramic style of middle Cauca Valley, Colombia.","Ñawpa Pacha, (7-8):65-84.",Arqueología Colombiana
6555,"Bruhns, Karen",1972,Two prehispanic Cire Perdue casting moulds from Colombia.,"Man, 7:308-311.",Arqueología Colombiana
4864,"Bruhns, Karen, Oscar Osorio & Ole Christiansen",1976,"A projectile point from the departament of Quindío, Colombia.","Ñawpa Pacha, (14):69-71.",Arqueología Colombiana
5412,"Buitrago , Luz Marina & Orlando Rodríguez",1999,"Evidencias de enfermedad articular degenerativa (EDA) en poblaciones Muiscas de Sogamoso, Boyacá.","Ponencia presentada a : I Congreso de arqueología en Colombia: La Arqueología Colombiana Ante los Nuevos Paradigmas del Siglo XXI. Sociedad Colombiana de Arqueología - Universidad de Caldas Manizales, 28 al 30 de octubre de 1999.",Arqueología Colombiana
5248,"Burcher, Priscila",1995,Ecología de los caribes.,"Boletín de Antropología, 9 (25):91-99.",Arqueología Colombiana
5175,"Burg, Georg",0,Beitrag zur ethnographie sudkolümbiens auf grund ligener forschungen.,Ibero Americanissches. Archiv pp. 333-375. Berlín.,Arqueología Colombiana
5132,"Burgl, Hans",1957,Artefactos paleolíticos de una tumba en Garzón (Huila).,"Revista Colombiana de Antropología, 6:7-30.",Arqueología Colombiana
6130,"Cabrera, Wenceslao",1962,Pictógrafos y petroglifos de Nariño.,"Revista Colombiana de Ciencias Exactas, Físicas y Naturales 12(48):341-400.",Arqueología Colombiana
6006,"Cabrera, Wenceslao",1970,"Monumentos rupestres en Colombia (Cuaderno Primero) generalidades, algunos conjuntos pictóricos  de Cundinamarca.",,Arqueología Colombiana
6179,"Cadavid, Francisco",1999,"Proceso histórico - cultural tradío en el valle medio del río Magdalena. La Coquera, un asentamiento ribereño prehispánico tradio.",Segunda Jornada Arqueológica. Universidad de Antioquia. Septiembre 2. Inédito.,Arqueología Colombiana
6236,"Cadavid, Gilberto",1989,Proyecto de preservación de Pueblito. Informe de actividades -Agosto de 1988 a Enero de 1989.,"Fundación de Investigaciones Arqueológicas del Banco de la República, Bogotá.  Inédito",Arqueología Colombiana
5644,"Cadavid, Gilberto",1984,Investigaciones arqueológicas en el área Guane,"Fundación de Investigaciones Arqueológicas Nacionales, Banco de la República, Bogotá.",Arqueología Colombiana
5499,"Cadavid, Gilberto",1986,Fecha para un basurero en Buritaca 200.,"Boletín de Arqueología, 1(1):21-28.",Arqueología Colombiana
5449,"Cadavid, Gilberto",1993,Excavaciones arqueológicas en Tajumbina (La Cruz-Nariño) Segunda temporada.,"Boletín de Arqueología, 8(1):27-33.",Arqueología Colombiana
5287,"Cadavid, Gilberto",1989,El macizo central Antioqueño,"Colombia Prehispánica, ed., Santiago Mora, pp, 65-68. Instituto Colombiano de Antropología, Instituto Colombiano de Cultura. Bogotá.",Arqueología Colombiana
4918,"Cadavid, Gilberto",1986,Análisis de C-14. Fecha para un basurero en Buritica 200.,"Boletín de Arqueología, 1(1):21-27.",Arqueología Colombiana
5805,"Cadavid, Gilberto",1989,La montaña Santandereana.,"Colombia Prehispánica, ed., Santiago Mora, pp, 69-75. Instituto Colombiano de Antropología, Instituto Colombiano de Cultura. Bogotá.",Arqueología Colombiana
5669,"Cadavid, Gilberto",1970,"Investigaciones arqueológicas en el Valle del río Magdalena, municipio de Honda, Tolima","Tesis de Grado Universidad de Los Andes (Inédito), Bogotá.",Arqueología Colombiana
5045,"Cadavid, Gilberto",1992,"Arqueología de salvamento en la vereda de Tajumbina, Municipio de la Cruz, Nariño. Informe Final","Fundación de Investigaciones Arqueológicas del Banco de la República, Bogotá.",Arqueología Colombiana
6530,"Cadavid, Gilberto",1986,Trabajos de restauración en Pueblito (Sierra Nevada de Santa Marta).,"Boletín de Arqueología, 1(3):54-63.",Arqueología Colombiana
6697,"Cadavid, Gilberto",1989,Valle intermedio del río Magdalena.,"Colombia Prehispánica, ed., Santiago Mora, pp, 53-63. Instituto Colombiano de Antropología, Instituto Colombiano de Cultura.Bogotá.",Arqueología Colombiana
5190,"Cadavid, Gilberto & Ana  María Groot",1987,"Buritaca 200. Arqueología y conservación de una población precolombina (Sierra Nevada de Santa Marta, Colombia).","Boletín del Museo del Oro, 19:57-81.",Arqueología Colombiana
5189,"Cadavid, Gilberto & Ana María Groot",1980,Buritaca 200. Arqueología y conservación de una población precolombina. (Sierra Nevada de Santa Marta).,"Beitrage zur Allegemeinen und Vergleichenden Arcaologie, Band 4 Deutschen Archaologischen Instituts. pp 21-34 Bonn",Arqueología Colombiana
5043,"Cadavid, Gilberto & Hernán Ordoñez",1992,"Arqueología de salvamento en la vereda de Tajumbina, Municipio de la Cruz (Nariño).","Fundación de Investigaciones Arqueológicas Nacionales, Banco de la República, Bogotá.",Arqueología Colombiana
5961,"Cadavid, Gilberto & Herrera  Luisa F.",1985,Manifestaciones culturales en el área Tayrona.,"Informes Antropológicos, 1:5-54.",Arqueología Colombiana
5044,"Cadavid, Gilberto & Ordoñez, Hernan",1989,"Arqueología de salvamento en la vereda de Tajumbina, Municipio de la Cruz, Nariño (1).","Boletín de Arqueología, 4(3):3-24.",Arqueología Colombiana
6003,CAIN - Corporación Antropológica para la Investigación.,1997,Monitoreo Arqueológico Oleoductos Cusiana-La Belleza y Vasconia-Coveñas.,Medellín: OCENSA. Inédito.,Arqueología Colombiana
5488,CAIN - Corporación Antropológica para la Investigación.,1996,Factibilidad y cortes estratigráficos sobre el trazado del oleoducto El Porvenir-La Belleza. Informe final.,Bogotá: ICANH Inédito,Arqueología Colombiana
5873,"Caldas, Ana María, Alvaro Chaves & Marina Villamizar",1972,Las tumbas del valle de El Dorado.,"Ediciones de la Universidad de Los Andes, Bogotá.",Arqueología Colombiana
6099,"Calero, Luís Fernando",1991,"Pastos, Quillancingas y Abades 1535-1700.","Biblioteca Banco Popular, Bogotá.",Arqueología Colombiana
10066,"Callaghan, Richard T. & Bray, Warwick",2007,Simulating prehistoric sea contacts between Costa Rica and Colombia.,"The Journal of Island and Coastal Archaeology, 2(1): 4 - 23.",Arqueología Colombiana
5023,"Calle, Jairo & Luis R. Rodríguez",1962,"Arqueología de Mutiscua, Norte de Santander, Colombia.","Casa Colonial de Pamplona, Publicaciones No 1, Cúcuta.",Arqueología Colombiana
5208,"Camargo, Gabriel",1961,Del barro al acero en la Roma de los Chibchas.,"Imprenta Departamental, Tunja.",Arqueología Colombiana
5351,"Campo, Enrique",1988,Ensayo de estratigrafia cultural basado en el método de la seriación.,Semestre de campo. Universidad de Antioquia (Inédito). Medellín.,Arqueología Colombiana
5341,"Campo, Enrique",1995,"Elementos tempranos de Ingeniería, en ciudad Antigua.","Instituto Colombiano de Antropología, Bogotá. Inédito.",Arqueología Colombiana
6233,"Campo, Enrique & Roberto, Maldonado",1992,"Proyecto de investigación sobre tecnología de contención, vivienda campesina e impacto en el entorno (Etapa I): Componente ""Antigua"" una muestra de ingenieria temprana en la Sierra Nevada de Sta Marta.",Fundación Pro-Sierra Nevada de Sta. Marta. Santa Marta.  Inédito,Arqueología Colombiana
5797,"Campo, Enrique, & Bernardo, Valderrama.",1995,La ingenieria Tairona.,Revista de la facultad de Ingenieria civil de la Universidad La Gran Colombia. 1(1):,Arqueología Colombiana
6234,"Campo, Enrique, Riberto Maldonado & Bernardo Valderrama.",1992,"Proyecto de investigación sobre tecnología de contención, vivienda campesina e impacto en el entorno (Etapa II): Componte ""Aplicaciones de elementos cosntructivos Tairona en el mejoramiento de vivienda.",Fundación Pro-Sierra Nevada de Sta. Marta. Santa Marta.  Inédito,Arqueología Colombiana
6259,"Cano, Marha Cecilia",2001,"Reconocimiento arqueológico de los municipios de Marsella, Dosquebradas y Pereira (Risaralda).","Arqueología preventiva en el eje cafetero. Reconocimiento y rescate arqueológico en los municipios jurisdicción del Fondo, FOREC.Vol XI.Patrimnio Arqueológico en el ordenamiento territorial. P 39-50 Instituto Colombiano de Antropología e Historia. Bogotá.",Arqueología Colombiana
5698,"Cano, Marta Cecilia",1995,"Investigaciones arqueológicas en Santuario, Risaralda. (II)","Fundación de Investigaciones Arqueológicas Nacionales, Banco de la República, Bogotá.",Arqueología Colombiana
5697,"Cano, Marta Cecilia",1994,"Investigaciones arqueológicas en Santuario, Risaralda.","Tesis de grado, Universidad de Antioquia, (Inédito). Medellín.",Arqueología Colombiana
5543,"Cano, Martha",1999,Hallazgos Precerámicos Recientes en el Valle Medio del Río Cauca.,"Ponencia presentada a : I Congreso de arqueología en Colombia: La Arqueología Colombiana Ante los Nuevos Paradigmas del Siglo XXI. Sociedad Colombiana de Arqueología - Universidad de Caldas Manizales, 28 al 30 de octubre de 1999.",Arqueología Colombiana
5524,"Cano, Martha",1999,Gestiones y Acciones en la Protección del Patrimonio Arqueológico del Eje Cafetero.  La Experiencia en el Departamento de Risaralda.,"Ponencia presentada a : I Congreso de arqueología en Colombia: La Arqueología Colombiana Ante los Nuevos Paradigmas del Siglo XXI. Sociedad Colombiana de Arqueología - Universidad de Caldas Manizales, 28 al 30 de octubre de 1999.",Arqueología Colombiana
5420,"Cantillo, Teresa & Adriana Zamudio Perdomo",1994,"Excavación de una vivienda localizada en una terraza alta en el eje central de Pueblito, Sierra Nevada de Santa Marta","Tesis de Grado Universidad de Los Andes (Inédito), Bogotá.",Arqueología Colombiana
6288,"Caratini, Claude & Colette Tissot",1988,Reconstrucción del medio ambiente del sitio La Tolita: estudio palinológico.,"Misión Arqueológica La Tolita, Institut Francais, B.P 33 Pondicherry.",Arqueología Colombiana
36197,"Cardale de Schrimpff, Marianne",2014,Sylvia Broadbent: una mujer polifacética,"Revista Colombiana de Antropología, 50(1): 163-170.",Arqueología Colombiana
10275,Cardale Marianne,2003,Resultados de un estudio petrológico de cerámicas del periodo Herrera provenientes de la sabana de Bogotá y sus implicaciones arqueológicas.,http://www.lablaa.org/blaavirtual/publicacionesbanrep/bolmuseo/1990/abjn27/abjn08g.htm,Arqueología Colombiana
6401,Cardale Marianne; Leonor Herrera; Carlos Armando Rodríguez; Yolanda Jaramillo,1999,Rito y ceremonia en Malagana.,"Ponencia presentada a : I Congreso de arqueología en Colombia: La Arqueología Colombiana Ante los Nuevos Paradigmas del Siglo XXI. Sociedad Colombiana de Arqueología - Universidad de Caldas Manizales, 28 al 30 de octubre de 1999.",Arqueología Colombiana
6478,"Cardale,  Marianne",1983,"Textiles arqueológicos en el museo ""Casa de Bolívar"", Bucaramanga.","Fundación de Investigaciones Arqueológicas del Banco de la República, Bogotá.",Arqueología Colombiana
4855,"Cardale, Marianne",1975,A brief survey of prehistoric salt production in Colombia.,Salt:the study of an ancient industry. Colchester Archaeological group. pp 84.,Arqueología Colombiana
5758,"Cardale, Marianne",1987,La cultura Ilama - resultados recientes.,"Boletín de Arqueología, 1(3):35-48.",Arqueología Colombiana
5344,"Cardale, Marianne",1987,En busca de los primeros agricultores del altiplano Cundiboyacense.,"Maguare, 5(5):99-125.",Arqueología Colombiana
5746,"Cardale, Marianne",1982,"La colina de la sal Zipaquirá, patrones de asentamiento durante la época precolombina y la colonia.","Fundación de Investigaciones Arqueológicas Nacionales, Banco de la República, Bogotá.",Arqueología Colombiana
5598,"Cardale, Marianne",1978,Informe preliminar sobre una mochila Muisca hallada en la región de Pisba.,"Boletín del Museo del Oro, 1:18-21.",Arqueología Colombiana
5623,"Cardale, Marianne",1992,Introducción.,"Calima diez mil años de historia en el suroccidente de Colombia,  pp 13-21. Fundación Pro Calima.",Arqueología Colombiana
6025,"Cardale, Marianne",1988,Nota sobre un fragmento de tela hallado en la hoya del Quindío.,"Boletín del Museo del Oro, 20:13-15.",Arqueología Colombiana
5716,"Cardale, Marianne",1990,La agricultura y el manejo de la tierra en tiempos prehispánicos.,"Lampara, 113(27):21-29.",Arqueología Colombiana
5806,"Cardale, Marianne",1989,La naturaleza del cambio.,"Historia y Culturas Populares: los estudios regionales en Boyacá. Compilado por Pablo Mora & Amado Guerrero, pp. 51-67. Instituto de Cultura y Bellas Artes de Boyacá. Tunja.",Arqueología Colombiana
6150,"Cardale, Marianne",1998,"Pre-Columbian roads in Calima. A means of communication among the polities of Southwestern Colombia, 500 BC to AD 500.","Recent advances in the archaeology of the northern Andes, In memory of Gerardo Reichel-Dolmatoff, eds.,  Agusto Oyuela & Scott Raymond, Monograph 39,  pp. 85-90. The Institute of Archaeology, University of California, Los Angeles.",Arqueología Colombiana
5689,"Cardale, Marianne",1976,"Investigaciones arqueológicas en la zona de Pubenza, Tocaima (Cundinamarca).","Revista Colombiana de Antropología, 16:335-496.",Arqueología Colombiana
5739,"Cardale, Marianne",1985,La cerámica.,"El Vuelo de las tijeretas, apéndice 1. Fundación de Investigaciones Arqueológica Nacionales, Banco de la República. pp 143-146. Bogotá.",Arqueología Colombiana
5787,"Cardale, Marianne",1992,La gente del período Ilama.,"Calima diez mil años de historia en el suroccidente de Colombia, pp 25-71. Fundación Pro Calima.",Arqueología Colombiana
6093,"Cardale, Marianne",1990,"Parques de hoy, vivencias del pasado","Parques Arqueológicos de Colombia, pp. 17-28, Instituto Colombiano de Antropología, Bogotá",Arqueología Colombiana
5865,"Cardale, Marianne",1981,"Las salinas de Zipaquirá, su explotación indígena.","Fundación de Investigaciones Arqueológicas Nacionales, Banco de la República, Bogotá.",Arqueología Colombiana
6053,"Cardale, Marianne",1981,Ocupaciones humanas en el altiplano Cundiboyacense. La etapa cerámica vista desde Zipaquirá.,"Boletín del Museo del Oro, 4:1-20.",Arqueología Colombiana
6079,"Cardale, Marianne",1986,"Painted textiles from caves in the Eastern cordillera, Colombia",The Junius Bird  Conference on the Andean Textiles: 205-218,Arqueología Colombiana
6477,"Cardale, Marianne",1988,Textiles arqueológicos del bajo río San Jorge.,"Boletín del Museo del Oro, 20:89-95.",Arqueología Colombiana
6476,"Cardale, Marianne",1979,Textiles arqueológicos de Nariño.,"Revista Colombiana de Antropología, 21:245-282.",Arqueología Colombiana
6514,"Cardale, Marianne",1989,The snake and the fabulous beast: themes from the pottery of the Ilama culture.,"Animals into archaeology, editado por H. Morphy, Vol 7, pp 75-106. One World Archaeology, Unwin Hyman. Londres.",Arqueología Colombiana
6405,"Cardale, Marianne",1976,Salt production in the eastern cordillera of Colombia before and after the spanish conquest. A preliminary survey.,"Actas XLI Congreso Internacional de Americanistas,  2:419-428. México.",Arqueología Colombiana
5238,"Cardale, Marianne & Leonor Herrera",1994,Dos alcarrazas Ilama en Tierradentro - anotaciones a una nota.,"Boletín del Museo del Oro, 37:107-111.",Arqueología Colombiana
5616,"Cardale, Marianne et al.",1985,"Introducción a la cultura Ilama (Investigaciones arqueológicas del formativo tardío en el alto río Calima, cordillera occidental, Colombia).","Fundación de Investigaciones Arqueológicas del Banco de la República, Bogotá.",Arqueología Colombiana
6076,"Cardale, Marianne, Warwick Bray & Leonor Herrera",1990,Ornamentos y máscaras de oro de la cultura Ilama. Metalurgia del período formativo tardío en la cordillera occidental colombiana.,"Boletín del Museo del Oro, 24:55-71.",Arqueología Colombiana
5319,"Cardale, Marianne; Leonor Herrera & Carlos A. Rodríguez",1994,El proyecto arqueológico de Malagana.,"Revista Colombiana de Antropología, 31: 265-270.",Arqueología Colombiana
6026,"Cardale, Marianne; Sory, Morales & Oscar Osorio",1988,"Nota sobre un tumba de cancel hallada en el municipio de Dosquebradas, Risaralda. .","Boletín del Museo del Oro, 22:103-116.",Arqueología Colombiana
6291,"Cardale, Marianne; Warwick Bray & Leonor Herrera",1989,Reconstruyendo el pasado en Calima. Resultados recientes.,"Boletín del Museo del Oro, 24:3-33.",Arqueología Colombiana
5884,"Cárdenas, Felipe",1988,"Levantamiento y rescate de un petroglifo en Jenoy, Nariño.","Revista de Antropología Universidad de los Andes, 4(2):273-280.",Arqueología Colombiana
6080,"Cárdenas, Felipe",1993,Paleodieta y paleodemografia en poblaciones arqueológicas Muiscas (sitio Las Delicias y Candelaria).,"Revista Colombiana de Antropología, 30:129-148.",Arqueología Colombiana
5002,"Cárdenas, Felipe",1990,Areas arqueológicas comunes de Colombia y Ecuador: consideraciones para la investigación.,"Ponencia presentada al Encuentro sobre arqueología de áreas comunes. Esmeraldas, Ecuador.",Arqueología Colombiana
6098,"Cárdenas, Felipe",1992,Pastos y Quillancingas: dos grupos étnicos en busca de identidad arqueológica.,"Revista Colombiana de Antropología, 19:63-79.",Arqueología Colombiana
5511,"Cárdenas, Felipe",1996,Frontera arqueológica vs. frontera etnohistorica:Pastos y Quillancingas en la arqueología del sur de Colombia.,"Frontera y poblamiento: estudios de historia y antropología de Colombia y el Ecuador, editado por Chantal Caillavet & Ximena Pachón. pp 41-56. Instituto Francés de Estudios Andinos, Instituto Amazónico de Investigaciones científicas, UniAndes.",Arqueología Colombiana
5993,"Cárdenas, Felipe",1990,Mitos y verdades sobre la desnutrición entre los Muiscas: Una visión crítica.,"Revista de Antropología y Arqueología, Universidad de los Andes, 4(1):127-139.",Arqueología Colombiana
