Autor,Título,Año,Publicado,Editado,Publicación internacional,Sitios,Tema,Período,Etapa,Región,Asunto,Tipo de proyecto,Comentario,Requerido
"Franco, Robert y Alba Nelly Gómez",Consideraciones sobre los habitantes prehispánicos de Puerto Berrío: con base en un análisis de material cerámico.,1994,,FALSE,FALSE,Hacienda Ripley,Arqueología sitio/localidad,,Cacicazgos,Magdalena medio,,Investigación básica,Clasificación de material cerámico y comentarios sobre el poblamiento.,FALSE
"Legros, Thierry","Consideraciones sobre Puerto Chacho, un conchero de las llanuras del Caribe colombiano.",1989,,TRUE,FALSE,"San Jacinto I y II, Puerto Chacho. Puerto Hormiga",Arqueología sitio/localidad,,Formativo,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,"Ver Archila (1993). Legros, 1992:162",FALSE
"Legros, Thierry",Consideraciones sobre Puerto Chacho.,1990,,TRUE,FALSE,,Arqueología sitio/localidad,,Formativo,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,Puerto Chacho,FALSE
"Rodríguez, Darío",Consolidación de madera arqueológica.,1980,,TRUE,FALSE,San Isidro,Materiales Arqueológicos,Piartal,Cacicazgos,,,Investigación básica,Resume el tratamiento llevado a cabo sobre los objetos comprados por el Museo y que dieron origen al artículo de Cradale y Falchetti de este mismos número.,FALSE
"Sánchez, Carlos Augusto",Constricción social y estrategias productivas agrícolas prehispánicas en el Alto Magdalena,2005,,TRUE,FALSE,,,,,Alto Magdalena,,Investigación básica,,FALSE
"Rodríguez Gallo, Diana Lorena",Construcción del paisaje agrícolo al sur de la \sabana de Bogotá: un desafío al agua. Sistema de camellones prehispánicos en el valle de los ríos Tunjuelito y Bogotá,2010,,FALSE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Bouchard, Jean François",Contactos e intercambios entre la región de La Tolita (Ecuador) y la región Tumaco (Colombia).,1991,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Costa Pacífica,,Investigación básica,,FALSE
"Castillo, Neyla",Contextos de introducción y desarrollo de la alfarería temprana en el valle del Porce.,1999,,FALSE,FALSE,,,,,Macizo Antioqueño,,Investigación básica,,FALSE
"Mora, Santiago & Inés Cavelier",Contra Punteo Llanero.,1983,,FALSE,FALSE,Acacías,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Giraldo, Santiago",Contranacionalismo y Política en la Arqueología de la Sierra Nevada de Santa Marta.,1999,,FALSE,FALSE,,,,,Sierra Nevada,,Investigación básica,,FALSE
"Giraldo, Santiago",Contratación y política en la arqueología de la Sierra Nevada de Santa Marta.,2003,,TRUE,FALSE,,Patrimonio,,,Sierra Nevada,,Investigación basica,,FALSE
"Campo, Enrique","Contribución a la arqueología de la Sierra Nevada de Santa Marta, Bahía Concha.",1990,,FALSE,FALSE,,Arqueología sitio/localidad,Tairona,Cacicazgos,Sierra Nevada,,Investigación básica,Relaciona el hallazgo de algunos entierros con diferencias sociales.,FALSE
"Reichel-Dolmatoff, Gerardo & Alicia, Dussan","Contribución a la arqueología del bajo Magdalena (Plato, Zambrano, Tenerife).",1954,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Silva, Eliécer",Contribución a la arqueología y prehistoria del Valle de Tenza.,1958,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Boada, Ana María & Marianne Cardale de Schrimpff",Contribución a la cronología cerámica de la Sabana de Bogotá.,2015,,TRUE,FALSE,,Materiales Arqueológicos,"Herrera, Muisca",Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Biese, Leo","Contribución a la cronología de la cutura Tairona (Sierra Nevda de Santa Marta, Colombia).",1968,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Sierra Nevada,Orfebrería,Investigación básica,,FALSE
"Oyuela, Augusto",Contribución a la periodización cultural en el litoral del parque Tairona.,1986,,TRUE,FALSE,Cinto,Síntesis datos,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Ardila, Gerardo",Contribución al conocimiento de la arqueología del alto Buritaca.,1984,,TRUE,FALSE,"Buritica, Alto de Mira",Arqueología sitio/localidad,Tairona,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Silva, Eliécer",Contribución al conocimiento de la civilización Lache.,1945,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Reichel-Dolmatoff, Gerardo",Contribución al conocimiento de la estratigrafía cerámica en San Agustín.,1975,,TRUE,FALSE,Mesita B,Arqueología sitio/localidad,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Dussan  Reichel, Alicia",Contribución al estudio de la cultura Calima en Colombia.,1966,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Arango, Juanita",Contribución al estudio de la historia de los Panches. Excavaciones arqueológicas en la zona de Quinini.,1974,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Magdalena medio,,Investigación básica,,FALSE
"Peña, Germán Alberto",Contribución al estudio de los períodos cerámicos en el altiplano Cundiboyacense y su vertiente suroccidental.,1988,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Díaz, Carmenza",Contribución al estudio del poblamiento Panche.,1983,,FALSE,FALSE,,Etnohistoria,,Cacicazgos,Magdalena medio,,Investigación básica,,FALSE
"Rosique Gracia, Javier",Contribución de Graciliano Arcila Vélez al conocimiento bioantropológico de la población amerindia nativa colombiana.,2003,,TRUE,FALSE,,Historia de,,,,,,,FALSE
"Bischof, Henning",Contribuciones a la cronología Tayrona (Sierra Nevada de Santa Marta).,1968,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Boada Rivas, Ana María","Control sobre tierras, sistemas de camellones, canales y mano de obra durante el periodo prehispánico en la Sabana de Bogotá, Colombia.",2018,,FALSE,TRUE,,,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Bernal Arévalo, Marcela",Control social en el asentamiento colonial Nuestra Señora Santa María de los Remedios del Cabo de la Vela,2015,,FALSE,FALSE,,Arqueología sitio/localidad,,Colonial,Península de la Guajira y corredor del Cesar,,Investigación básica,,FALSE
"Piñeros, Fernando",Correlación de las reconstrucciones paleoecológicas de los varios perfiles de polen.,1989,,TRUE,FALSE,Meremberg,Arqueología sitio/localidad,,,Alto Magdalena,Estudio palinológico,Investigación básica,,FALSE
"Herrera, Leonor",Costa del océano pacífico y vertiente oeste de la cordillera occidental.,1989,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Costa Pacífica,,Investigación básica,,FALSE
"Rojas, Ulises",Costumbres de los indios Tuates. Olleros anteriores a la  Conquista.,1946,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Lunardi, Federico",Costumbres mortuorias del macizo colombiano.,1936,,TRUE,FALSE,,Teoría arqueológica,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Graham, Mark Miller","Creation imagery in the goldwork of Costa Rica, Panama, and Colombia.",2003,,FALSE,FALSE,,Materiales Arqueológicos,,Cacicazgos,,,Investigación basica,,FALSE
"Dussan  Reichel, Alicia","Crespo, un nuevo complejo arqueológico en el norte de Colombia.",1954,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Pineda Camacho, Roberto",Cronistas contemporáneos. Historia de los Institutos Etnológicos de Colombia (1930-1952),2009,,TRUE,FALSE,,Historia de la...,,,,,Investigación básica,,FALSE
"Uribe, María Victoria",Cronología absoluta de la arqueología colombiana.,1990,,TRUE,FALSE,Cueva del Caucho; Cueva El Conde,Síntesis datos,,,,,Investigación básica,,FALSE
"Piazzini, Carlo Emilio  & Óscar Julián Moscoso",Cronología arqueológica de los valles de Ciató y Risaralda en el occ idente colombiano,2008,,TRUE,FALSE,,Arqueología sitio/localidad,,,Macizo Antioqueño,,,,FALSE
"Boada Rivas, Ana María y Marianne Cardale de Schrimpff",Cronología de la Sabana de Bogotá.,2018,,FALSE,FALSE,,Materiales Arqueológicos,,,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Bray, Warwick",Cruzando el Tapón del Darién: una visión de la arqueología del Istmo desde la perspectiva colombiana. Traducido por Adriana Arias de Hassan.,1990,,TRUE,FALSE,,Síntesis datos,,,"Uraba, alto Sinú",,Investigación básica,,FALSE
"Flórez, Franz",Cuando el río suena... Apuntes sobre la historia arqueológica del Valle del río Magdalena.,1998,,TRUE,FALSE,,,,,Magdalena medio,,,,FALSE
"Langebaek, Carl Henrik",Cuando los muiscas diversificaron Ia agricultura y crearon el intercambio.,1985,,FALSE,FALSE,,Síntesis datos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Langabaek, Carl",Cuando los muiscas diversificaron la agricultura y crearon el intercambio.,1985,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Altiplano Cundiboyacense,Intercambio/agricultura,Divulgación,,FALSE
"Scott, David","Cuentas de collar elaboradas en aleación de cobre procedente de Nariño, Colombia.",1980,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Macizo Andino del sur,,Investigación básica,"Recuperación de 10 cuentas de collar en cobre de una masa amorfa generada por corroción. La cuentas son de Nariño, compradas, probablemente, a saqueadores por el museo del Oro",FALSE
"Echavarría, Cristina",Cuentos y cantos de las aves wiwa. Anotaciones sobre la función de las aves en la cultura tairona,1995,,TRUE,FALSE,,Etnoarqueología,,Republicana,Sierra Nevada,,Investigación básica,,FALSE
"Echavarría, Cristina",Cuentos y cantos de las aves wiwa. Notas preliminares sobre la tradición oral wiwa en las interpretaciones de las representaciones ornitomorfas de la cultura Tairona.,0,,TRUE,FALSE,,,,,Sierra Nevada,Orfebreria/Tradición oral,Investigación básica,,FALSE
"Rincón, Luz",Cultígenos Presentes en un Sitio de Vivienda del Clásico Regional Agustiniano.,1999,,FALSE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Alto Magdalena,Paleobotánica,Investigación básica,,FALSE
"Mora, Santiago; Luisa F.  Herrera; Inés, Cavelier & Camilo, Rodríguez","Cultivars, anthropic soils and stability a preliminary report of archaeological research in Araracuara colombian amazonia.",1991,,TRUE,FALSE,Abeja,Arqueología sitio/localidad,Méidote I y II,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Mora, Santiago; Luisa F.  Herrera & Inés, Cavelier",Cultivos y tecnología en la prehistoria amazónica.,1987,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Silva, Eliécer",Culto a la fecundidad.,1987,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Jiménez, Edith",Cultura del bajo Magdalena.,1944,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Magdalena medio,,Investigación básica,,FALSE
"Cardale, Marianne",Cultura Ilama de la región Calima.,1985,,TRUE,FALSE,La Iberia,,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,Información incompleta sobre sitio de publicación.,FALSE
"Bouchard, Jean François",Cultura prehispánicas del litoral pacífico nor-ecuatorial,1988,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Costa Pacífica,,Investigación básica,Fotocopia completa del texto de arte de la tierra incluyendo el texto de Mora,FALSE
"Vélez, Luís Fernando","Cultura rupestre de los Titiribies la ""piedra del Indio"".",1965,,TRUE,FALSE,"Socolado, Los Ricos Municipio de Titiribi.",Arqueología sitio/localidad,,,,,Investigación básica,,FALSE
"Angulo, Carlos",Cultural development in Colombia.,1961,,TRUE,FALSE,,Teoría arqueológica,,,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Ranere, Anthony J. & Carlos E. López",Cultural diversity in late Pleistocene/early Holocene populations in Northwest South America and Lower Central America.,2007,,FALSE,TRUE,,Síntesis datos,,Paleoindio,,,Investigación básica,,FALSE
"Drennan, Robert","Cultural evolution, human ecology and empirical research.",1991,,TRUE,FALSE,,Teoría arqueológica,,,,,Investigación básica,,FALSE
"Plazas, Clemencia & Ana María Falchetti",Cultural patterns in the prehispanic goldwork of Colombia.,1985,,TRUE,FALSE,Faltan páginas,Materiales Arqueológicos,,Cacicazgos,,Orfebería,Investigación básica,,FALSE
"Langebaek, Carl Henrik",Cuna long distance journeys: The results of colonial interaction.,1991,,TRUE,FALSE,,Etnoarqueología,,Colonial,Costa Pacífica,,,,FALSE
"Cook, Richard",Cupica (Chocó). A reassessment of Gerardo Reichel-Dolmatoff fieldwork in a poorly studied region of the American tropics.,1998,,TRUE,FALSE,Cupica,Arqueología sitio/localidad,,Cacicazgos,Costa Pacífica,,Investigación básica,,FALSE
"Trujillo, Víctor",Curiosidades prehistóricas. Estatuas del valle de La Plata.,1934,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Stemper, David & Héctor Salgado",Current Research (from Colombia).,1992,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Costa Pacífica,,Investigación básica,,FALSE
"Therrien, Monika","Dandies en Bogotá: industrias para la civilización y el cambio, siglos XIX-XX.",2004,,TRUE,FALSE,,Patrimonio,,Republicana,Altiplano Cundiboyacense,,Investigación basica,,FALSE
"Linné, Silgvald",Darien in the past: the archaeology of eastern Panamá and northwestern Colombia.,1929,,TRUE,FALSE,,Síntesis datos,,,"Uraba, alto Sinú",,Investigación básica,,FALSE
"Marriner, Harry A.",Dart-thrower use in Colombia and its representation in colombian rock art.,2000,,FALSE,FALSE,,Materiales Arqueológicos,,,,Arte rupestre,Investigación básica,,FALSE
"Reichel-Dolmatoff, Gerardo",Datos histórico - culturales sobre las tribus de la antigua gobernación de Santa Marta.,1951,,TRUE,FALSE,,Etnohistoria,,Colonial,Sierra Nevada,,Investigación básica,,FALSE
"Cárdenas, Felipe & Luis Guillermo Rendon","Datos paleopatológicos y culturales sobre un cráneo  arqueológico de Belalcázar, Cauca.",1988,,TRUE,FALSE,,Materiales Arqueológicos,,,Alto Magdalena,,Investigación básica,,FALSE
"Manrique, Julio",Datos para la antropología colombiana.,1937,,TRUE,FALSE,Subachoque ?,,,,Altiplano Cundiboyacense,Osteología,Investigación básica,,FALSE
"Rodríguez, Carlos Armando; José Vicente Rodríguez, Amparo Cuenca; Fabio Rey",Datos recientes sobre el hombre y la cultura de Guacari antes de que llegaran los conquistadores Españoles.,1994,,TRUE,FALSE,El Carmen,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Cárdenas, Felipe","Datos sobre la alimentación prehispánica en la sabana de Bogotá, Colombia.",2002,,FALSE,FALSE,,,,,Altiplano Cundiboyacense,,,,FALSE
"Herrera, Leonor, Warwick, Bray & Colin McEwan","Datos sobre la arqueología de Araracuara (Comisaria del Amazonas, Colombia).",1981,,TRUE,FALSE,"Araracuara 21, 22, 15, 7",Arqueología sitio/localidad,Camani/Nofurei,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Langebaek, Carl",De cómo convertir a los indios y de por qué no lo han sido. Juan de Varcalcel y la idolatría en el altiplano cundiboyacense a finales del siglo XVII.,1995,,TRUE,FALSE,,Etnohistoria,,Colonial,Altiplano Cundiboyacense,,Investigación básica,Comentarios sobre el sincretismo religioso entre los muiscas.,FALSE
"Aceituno, Francisco Javier",De la arqueología temprana de los bosques premontanos de la cordillera central colombiana.,2003,,TRUE,FALSE,,Síntesis datos,,,Macizo Antioqueño,,,,FALSE
"Flórez, Franz,  Santiago Mora & María Isabel Patiño",De la edad de piedra a la edad de la inocencia.,1997,,TRUE,FALSE,,Teoría arqueológica,,,,,Investigación básica,,FALSE
"Flórez, Franz, Santiago Mora & María Isabel Patiño",De la edad de piedra… a la edad de la inicencia.,1997,,TRUE,FALSE,,Teoría arqueológica,,,,,,,FALSE
"Ome, Tatiana","De la ritualidad a la domesticidad en la cultura material. Un análisis de los contectos significactivos del tipo cerámico Guatavita Desgrasante Tiestos entre los periodos prehispánico, colonial y republicano (Santa Fe y Bogotá).",0,,TRUE,FALSE,,Materiales Arqueológicos,,Colonial,Altiplano Cundiboyacense,,Investigación basica,,FALSE
"Flórez, Franz",De La Tolita al Caney. Notas arqueológicas sobre la evolución social en el Pacífico colombo-ecuatoriano.,1998,,FALSE,FALSE,,Teoría arqueológica,,Cacicazgos,Costa Pacífica,,Investigación básica,,FALSE
"Vidal, Antonio & Alvaro Baquero",De las indias remotas... cartas del cabildo de Santa Marta 1529-1640.,2007,,TRUE,FALSE,,Etnohistoria,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Langebaek, Carl Henrik","De las palabras, las cosas y los recuerdos: el infiernito, la arqueología, los documentos y la etnología en el estudio de la sociedad Muisca",2006,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Langebaek, Carl Henrik","De las palabras, las cosas y los recuerdos: el Infiernito, la arqueología, los documentos y la etnología en el estudio de la sociedad muisca.",2006,,FALSE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Hernández, Guillermo",De los Chibchas a la colonia y a la República: del clan a la encomienda y al latifundio en Colombia.,1978,,TRUE,FALSE,,Teoría arqueológica,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Oyuela, Augusto",De los Tairona a los Kogi: una interpretación del cambio Cultural.,1986,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Mora, Santiago",De piedras y semillas: los nómadas amazónicos y su historia.,2010,,FALSE,FALSE,,Síntesis datos,,Paleoindio,Tierras bajas orientales,,Investigación básica,,FALSE
"Herrera, Leonor",De por qué los arqueólogos se enloquecen por los tiestos.,1990,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,,,Investigación básica,,FALSE
"Angulo, Carlos",De Puerto Hormiga a la conquista española. Datos para una secuencia tentativa.,1987,,TRUE,FALSE,Puerto Hormiga,Síntesis datos,,,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Van Zweden, Ronald.","De topografie en stratigrafie van site Marta, Colombia.",1986,,TRUE,FALSE,Marta,Arqueología sitio/localidad,,Cacicazgos,"Uraba, alto Sinú",,Investigación básica,,FALSE
Wippern A.M,"Debate sobre Monsú -reseña de ""Monsú:un sitio arqueológico"" de G. Reichel.",1987,,TRUE,FALSE,Monsú,Arqueología sitio/localidad,,Formativo,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,Critica minusiosa del texto de Reichel.,FALSE
"Escallón Chiappe, María Fernanda","Decoración, cronología y territorio: un estudio comparativo de la cerámica Herrera del altiplano cundiboyacense.",2005,,TRUE,FALSE,,Materiales Arqueológicos,Herrera,,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Camargo, Gabriel",Del barro al acero en la Roma de los Chibchas.,1961,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Aceituno Bocanegra, Francisco Javier; Rojas Mora, Sneider",Del Paleoindio al Formativo: 10.000 años para la historia de la tecnología lítica en Colombia.,2012,,FALSE,FALSE,,Síntesis datos,,Paleoindio,,,Investigación básica,,FALSE
"Mariano, Carolina Inés; Conforti, María Eugenia","Del registro al patrimonio, un camino con curvas cerradas. Gestión del patrimonio arqueológico y comunicación pública de la ciencia",2013,,FALSE,FALSE,,Patrimonio,,,,,Investigación básica,,FALSE
Giraldo Santiago,Del Rioja y otras cosas se los caciques: patrones de intercambio tairona en el siglo XVI.,2000,,FALSE,FALSE,,Etnohistoria,,Cacicazgos,Sierra Nevada,,,,FALSE
"Rivet, Paul",Département de Santander del Norte. Découvértes archéologiques; Mélanges er nouvelles americanistes.,1932,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Montaña Santandereana,,Investigación básica,,FALSE
"Falchetti, Ana María",Desarrollo de la orfebrería Tairona en la provincia metalúrgica del norte Colombiano.,1987,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Langebaek, Carl",Desarrollo de las comunidades indígenas de la sierra Nevada de Santa Marta desde el formativo hasta el siglo XVI.,1988,,TRUE,FALSE,,Síntesis datos,,,Sierra Nevada,,Investigación básica,,FALSE
"Andrade, Angela",Desarrollo de los sistemas agrícolas tradicionales en la Amazonia,1988,,TRUE,FALSE,,Síntesis datos,,,Tierras bajas orientales,Agricultura,Investigación básica,,FALSE
"Gnecco, Cristóbal",Desarrollo prehispánico desigual en el suroccidente de Colombia,2006,,FALSE,FALSE,,Síntesis datos,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Gnecco, Cristóbal",Desarrollo prehispánico desigual en el suroccidente de Colombia.,2006,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Patiño, Diógenes",Desarrollos prehispánicos tardíos en el Cauca.,1986,,FALSE,FALSE,,Síntesis datos,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Rojas, Sneider",Descripción de macrorrestos botánicos de sitios arqueológicos en la cuenca del río Dagua poliducto linea litoral del pacífico.,1995,,TRUE,FALSE,Atuncela III; La Cabaña 1,Materiales Arqueológicos,,Cacicazgos,,Etnobotánica,Rescate arqueológico,Etnobotánica. Resultado de un rescate.,FALSE
"Adames, Amparo",Descripción técnica de la muestra fotográfica.,1988,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Costa Pacífica,,Divulgación,,FALSE
"Silva, Eliécer","Descubrimiento arqueológico en Villa de Leiva,",1983,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Hernández de  Alba, Gregorio",Descubrimientos arqueológicos en Inza.,1938,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Hernández de  Alba, Gregorio","Descubrimientos arqueológicos en tierras de los Chibchas, laguna de Fúquene.",1944,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Bouchard, Jean François",Deux sites cotiers Tumaco-La Tolita.,1990,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Costa Pacífica,,Investigación básica,,FALSE
"Herrera, Luisa Fernanda",Diagnóstico palinológico de sitios arqueológicos en el trazado del oleoducto Cusiana - La Belleza - Vasconia-Coveñas.,1991,,FALSE,FALSE,,Materiales Arqueológicos,,,,Palinología,Rescate arqueológico,,FALSE
"Bischof, Henning",Die spanish-indianische auseinandersetzung in der nordlichen Sierra Nevada de Santa Marta (1501-1600).,1971,,TRUE,FALSE,,Etnohistoria,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Langebaek, Carl Henrik",Dieta y desarrollos prehispánicos en Colombia. Durante diez mil años el indígena presentó resistencia a la agricultura.,1994,,TRUE,FALSE,,Síntesis datos,,,,,Investigación básica,,FALSE
"Salgado, Héctor & Carlos Armando Rodríguez",Diez mil años del Valle del Cauca: una historia en construcción. Catálogo para una exposición,1994,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Divulgación,,FALSE
"Argüello, Pedro M.",Diferenciación técnica como diferenciador cultural: el caso del arte rupestre del suroccidente de Cundinamarca.,1999,,TRUE,FALSE,,Materiales Arqueológicos,,,Altiplano Cundiboyacense,Arte rupestre,Investigación básica,,FALSE
"Bernardi, Lila; Arrieta, Mario A.; Bordach, María A.; Mendonca, Osvaldo J.",Dimorfismo sexual mandibular en cazadores-recolectores del Holoceno Tardío: eficiencia diagnóstica comparada entre dos propuestas metodológicas,2016,,TRUE,FALSE,,Materiales Arqueológicos,,Paleoindio,,,Investigación básica,,FALSE
"Castaño, Carlos",Dinámica y procesos de conformación en las  unidades sincrónicas del asentamiento de Buritaca 200.,1981,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Sierra Nevada,,Investigación básica,El título lo dice todo.,FALSE
"Langebaek, Carl Henrik",Discursos coloniales sobre la idolatría en la Sierra Nevada de Santa Marta: el llanto sagrado de Fray Francisco Romero y el documento inédito de Melchor de Espinosa.,2004,,FALSE,FALSE,,Etnohistoria,,Colonial,Sierra Nevada,Idolatria,Investigación básica,,FALSE
"Plazas, Clemencia",Diseño compartido entre molas gunas y cerámica prehispánica de Panamá central,2016,,FALSE,FALSE,,Materiales Arqueológicos,,,"Uraba, alto Sinú",,,,FALSE
"López, Carlos",Dispersión de puntas de proyectil bifaciales en la cuenca media del río Magdalena,1995,,TRUE,FALSE,,Síntesis datos,,,Magdalena medio,,Investigación básica,,FALSE
"Langebaek, Carl",Dispersión geográfica y contenido simbólico de la cerámica Guatavita desgrasante tiesto: un ensayo de interpretación.,1987,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Fernández, Eduardo",Distribución espacial y temporal de la cerámica en el área Quillacinga.,1994,,FALSE,FALSE,Bomboná,Materiales Arqueológicos,,Cacicazgos,Macizo Andino del sur,,Investigación básica,Información proporcionada por Erigaie,FALSE
"Gómez, Luz Alba",Diversidad cultural en el Magdalena Medio. Grupos acerámicos y agroalfareros.,1995,,FALSE,FALSE,Pipintá,Arqueología sitio/localidad,,Cacicazgos,Magdalena medio,,Rescate arqueológico,,FALSE
"Gómez, Alba Nelly & H.M. Correcha S.",Diversidad cultural en el Magdalena Medio: grupos acerámicos y agroalfareros. Excavación y rescate arqueológico gasoducto centro oriente km.4 al 21 Barrancabermeja (Santander).,1995,,FALSE,FALSE,Ciénaga del Tigre I,Arqueología sitio/localidad,,Cacicazgos,Magdalena medio,,Rescate arqueológico,,FALSE
"Rodríguez, Camilo","Diversidad cultural precolombina, homogeneidad étnica colonial: el caso del Tolima Grande y la guerra de los Pijaos. Programa de Rescate Arqueológico Línea de Transmisión Betania-Mirolindo.",1997,,FALSE,FALSE,,,,,,,Rescate arqueológico,,FALSE
"Rodríguez, Elkin",Diversificación de Cultivos o Formas de Producción:  datos sobre actividades económicas de subsistencia prehispánicas en el Valle del Río Otún (Risaralda).,2001,,FALSE,FALSE,,,,,Valles alto Calima y alto y medio del Cauca,Paleorconomía,Investigación básica,,FALSE
"Delgado Burbano, Miguel Eduardo",Diversificación morfológica y poblamiento temprano del noroccidente de Suramérica: un estudio de la variación craneofacial,2012,,FALSE,FALSE,,Materiales Arqueológicos,,Paleoindio,,,Investigación básica,,FALSE
"González, Jorge; & Armando Moreno",Documento de Archivo,1988,,TRUE,FALSE,,Etnohistoria,,,Tierras bajas orientales,,Investigación básica,Documento del siglo XVII sobre el descubrimiento del río Ariari,FALSE
"Uribe, María Victoria",Documentos del siglo XVIII referentes a la provincia de los Pastos: problemas de interpretación.,1975,,TRUE,FALSE,,Etnohistoria,,Colonial,Macizo Andino del sur,,Investigación básica,,FALSE
